id,x,y,ts_in,ts_out
0,0.234,0.616,837,879
1,0.5419999999999999,0.308,595,1541
2,0.842,0.008,797,1955
3,0.779,0.371,151,308
4,0.4069999999999999,0.443,315,470
5,0.901,0.249,502,584
6,0,0.873,331,1968
7,0.22899999999999995,0.921,703,1360
8,0.187,0.6629999999999999,744,1940
9,0.191,0.959,336,1618
10,0.46,0.39,960,1852
11,0.30700000000000005,0.843,733,1570
12,0.21,0.9400000000000001,896,1247
13,0.149,0.701,677,1105
14,0.378,0.772,323,1643
15,0.38,0.77,977,1536
16,0.779,0.371,235,1252
17,0.069,1.0,290,769
18,0.037,0.813,884,1799
19,0.76,0.09,958,1344
20,0.447,0.703,390,1198
21,0.879,0.271,377,1718
22,0.839,0.011,435,1276
23,0.567,0.5830000000000001,61,1662
24,0.41700000000000004,0.733,426,1460
25,0.192,0.658,923,1830
26,0.02,1.0,814,1108
27,0.5239999999999999,0.326,382,1259
28,0.06199999999999997,0.788,432,1761
29,0,0.904,115,159
30,0.142,0.708,236,872
31,0.543,0.607,179,1644
32,0.53,0.62,258,1900
33,0.559,0.591,357,484
34,0.424,0.7260000000000001,5,1399
35,0.44000000000000006,0.41,427,790
36,0.725,0.12500000000000003,362,1992
37,0.57,0.28,963,1249
38,0.87,0.28,64,1805
39,0.41100000000000003,0.739,20,1905
40,0.901,0.24899999999999997,751,1213
41,0.504,0.346,614,1707
42,0.331,0.519,60,710
43,0.54,0.61,871,916
44,0.206,0.9440000000000001,576,1149
45,0.61,0.54,329,1823
46,0.092,1.0,589,1205
47,0.020000000000000046,0.83,671,1810
48,0.607,0.543,382,1129
49,0.286,0.864,549,1953
50,0.568,0.28200000000000003,802,861
51,0.628,0.522,738,1111
52,0.36,0.49,821,918
53,0.973,0.177,788,1173
54,0.009000000000000036,0.841,260,1673
55,0,0.947,965,1735
56,0.621,0.229,889,1715
57,0.40800000000000003,0.442,192,892
58,0.8510000000000001,0.299,265,1567
59,0.511,0.339,386,1284
60,0.737,0.11300000000000002,323,899
61,0.99,0,825,1988
62,0.253,0.897,95,1604
63,0.538,0.612,34,862
64,0.268,0.882,772,1712
65,0.391,0.45899999999999996,974,1989
66,0.7140000000000001,0.436,525,1259
67,0.169,0.981,37,1539
68,0,0.856,218,364
69,0.156,0.694,517,934
70,0.371,0.779,421,645
71,0.167,0.983,870,1405
72,0.7060000000000001,0.444,838,1157
73,0.987,0,995,1724
74,1.0,0.106,771,1155
75,0.399,0.45099999999999996,995,1884
76,0.042,1.0,567,1301
77,0.2899999999999999,0.56,815,1961
78,0.77,0.07999999999999999,498,1815
79,0.5,0.35,713,1569
