id,x,y,z,ts_in,ts_out
0,0.255,0.255,0.895,316,1823
1,0.129,0.721,0.429,303,557
2,0,0,0.909,590,1406
3,0.754,0.396,0.454,445,499
4,1.0,0.052,1.0,465,1978
5,0.153,0.697,0.453,629,896
6,0.622,0.528,0.528,304,1698
7,0.75,0.4,0.1,711,1205
8,0.657,0.193,0.493,883,1843
9,0.6,0.55,0.3,879,901
10,0.751,1.0,0.099,629,1591
11,0.335,0.035,0.815,326,1215
12,0.201,0.649,0.949,671,1986
13,0.408,0.708,0.442,528,1354
14,0.719,0.131,0.719,57,77
15,0.452,0.698,0.152,721,1774
16,0.352,0.798,0.052,574,1075
17,0.166,0.684,0.984,220,688
18,0.022,0.828,0.322,969,1886
19,0.947,0,0.203,125,1782
20,0.08,1.0,1,361,1509
21,0.749,1.0,0.101,677,1891
22,0.418,0.418,0.732,894,1997
23,0,0,0.908,549,1113
24,0.23,0.62,0.62,92,1440
25,0.278,0.278,0.572,125,1621
26,0,0,0.994,57,364
27,0.536,0.314,0.614,367,1479
28,0.195,0.195,0.655,921,1804
29,0.502,0.348,0.502,184,1562
30,0.795,0.055,0.355,252,1804
31,0.642,0.942,0.208,888,1750
32,0.518,0.632,0.332,265,369
33,0.094,0.756,0.394,919,1364
34,0.356,0.656,0.494,276,296
35,0.241,0.541,0.609,186,1816
36,0.497,0.497,0.353,822,1183
37,0.805,0.045,0.805,843,848
38,0.544,0.306,0.606,905,1051
39,0.138,0.712,0.138,70,1426
40,0.321,0.829,0.529,903,1649
41,0.662,0.488,0.662,855,1456
42,1.0,0.013,1.0,55,377
43,0.785,0.785,0.365,637,1084
44,0.708,0.142,0.142,269,1298
45,0.514,0.336,0.814,683,947
46,0,0,0.99,908,1315
47,0.499,0.351,0.799,407,1456
48,0.73,0.12,0.42,586,1941
49,0.651,0.951,0.199,833,1421
50,0.328,0.522,0.328,75,1235
51,0.522,0.328,0.522,911,946
52,0.486,0.486,0.664,106,132
53,0.093,0.393,0.757,485,1747
54,0.426,0.424,0.726,192,1372
55,0.316,0.534,0.616,500,1318
56,0.046,0.804,0.346,958,1405
57,0.464,0.464,0.386,109,1330
58,0.635,0.635,0.215,398,1563
59,0.655,0.955,0.195,416,1363
60,0.034,0.816,0.034,888,1562
61,0.568,0.268,0.582,829,1798
62,0.142,0.708,1,615,853
63,1.0,0.092,0.758,505,1398
64,0.915,0.235,0,275,1125
65,0.634,0.516,0.216,453,1798
66,0.886,0.264,0,874,1093
67,0.172,0.678,0.472,401,760
68,0,0.18,0.97,524,1098
69,0.913,0.613,0.237,889,1892
70,0.275,0.875,0,633,1171
71,0.345,0.505,0.805,689,1424
72,0.773,0.773,0.077,403,1664
73,0.143,0.707,0.443,38,1223
74,0.975,0.175,0.175,560,870
75,0.896,0.596,0.254,283,451
76,0.55,0.55,0.6,671,1602
77,0.747,0.103,1.0,508,1331
78,0.701,0.149,0.449,943,1068
79,0.084,1.0,0.766,371,991
80,0.772,0.378,0.472,271,597
81,0.516,0.216,0.634,953,1919
82,0.447,0.703,0.703,343,1213
83,0.569,0.281,0.281,61,524
84,0.831,0.531,0.319,66,492
85,0.548,0.602,0.548,386,1336
86,1.0,0.108,0.742,203,674
87,0.601,0.549,0.601,676,1130
88,0.702,0.148,1.0,266,718
89,0.627,0.927,0.223,34,1288
90,0.349,0.049,0.801,96,203
91,0,0.861,0,706,1430
92,0.592,0.258,0.592,717,1422
93,0.034,0.334,0.816,289,1051
94,1.0,0.795,0.055,52,589
95,0.652,0.198,0.652,638,974
96,0.241,0.241,0.909,413,1450
97,0.531,0.619,0.231,927,1586
98,0.453,0.697,0.153,727,1263
99,0,0.89,0,370,1175
100,1.0,1.0,0.147,946,1257
101,0.018,1.0,0.832,691,1256
102,0.022,0.828,0.022,731,1651
103,0.627,0.223,0.523,305,425
104,0.54,0.31,0.31,491,1803
105,0.296,0,0.854,519,1456
106,0.151,0.999,0.699,935,1398
107,0,0.25,0.9,318,1721
108,0.323,0.323,0.827,25,1475
109,0.886,0.264,0,467,1644
110,0.365,0.365,0.785,195,1459
111,0.473,0.677,0.677,925,1420
112,0.526,0.324,0.826,366,1075
113,0.37,0.48,0.48,820,1383
114,0.16,0.69,0.46,107,1959
115,0.747,0.403,0.447,550,1839
116,0.219,0.631,0.631,5,1207
117,0.197,0.953,0,319,833
118,0.765,0.385,0.765,604,1122
119,0.602,0.548,0.548,930,934
120,0.734,0.734,0.416,592,618
121,0.419,0.719,0.431,88,1012
122,0.138,0.438,0.712,255,734
123,0.37,0.78,0.07,438,574
