id,v,w,x,y,z,ts_in,ts_out
0,0.951,0.6509999999999999,0.951,0.199,0.951,711,1893
1,0,0.252,0.252,0.252,0.898,884,1351
2,0,0.29500000000000004,0.29500000000000004,0.855,0.29500000000000004,510,539
3,0.707,1,1.0,0.707,0.143,306,1438
4,0.339,0.511,0.811,0.511,0.811,611,1853
5,1.0,0.827,0.023,1.0,1,277,893
6,0.77,0.77,0.77,0.38,0.47,491,1575
7,0.811,0.03899999999999995,0.03899999999999995,0.33899999999999997,0.03899999999999995,526,651
8,0.705,0.445,0.705,0.4049999999999999,0.4049999999999999,513,1151
9,0.634,0.216,0.516,0.516,0.516,998,1800
10,0.39,0.39,0.39,0.6900000000000001,0.46,336,1126
11,0,0.278,0.278,0.278,0.872,157,1819
12,0.215,0.515,0.635,0.515,0.215,551,975
13,0.426,0.7240000000000001,0.42400000000000004,0.42400000000000004,0.7240000000000001,155,980
14,0.67,0.67,0.67,0.48,0.67,63,1582
15,0.62,0.62,0.23,0.62,0.92,483,839
16,0.8069999999999999,0.8069999999999999,0.8069999999999999,0.8069999999999999,0.043,32,762
17,1.0,0.15,1.0,0.7,0.7,968,1623
18,0.18199999999999997,0.18199999999999997,0.482,0.668,0.18199999999999997,560,1452
19,0.8330000000000001,0.533,0.533,0.533,0.317,650,895
20,0.8330000000000001,0.533,0.317,0.8330000000000001,0.533,920,1582
21,0.262,0.262,0.588,0.562,0.262,177,608
22,0.791,1,1.0,0.059,1.0,96,1560
23,0.847,0.003,0.847,0.847,1.0,387,1767
24,0.416,0.7340000000000001,0.7340000000000001,0.43400000000000005,0.43400000000000005,213,720
25,0.053,0.7969999999999999,1.0,1.0,0.7969999999999999,653,1345
26,0.251,0.599,0.899,0.599,0.599,896,1047
27,0.817,0.033,1.0,0.817,1.0,809,1873
28,0.762,0.762,0.46199999999999997,0.388,0.46199999999999997,705,1691
29,0.377,0.07699999999999999,0.07699999999999999,0.773,0.377,15,191
30,0.14900000000000005,0.44900000000000007,0.14900000000000005,0.701,0.14900000000000005,296,1620
31,1.0,0.7929999999999999,0.057,0.7929999999999999,1,540,1709
32,0.22899999999999995,0,0.22899999999999995,0.22899999999999995,0.921,128,1468
33,0.545,0.24500000000000002,0.605,0.24500000000000002,0.545,637,1532
34,0.019000000000000045,0.019000000000000045,0.831,0.31900000000000006,0.019000000000000045,171,903
35,0,0,0.27,0.88,0.27,580,1888
36,0.559,0.559,0.559,0.591,0.259,466,1619
37,0.421,0.729,0.42899999999999994,0.42899999999999994,0.42899999999999994,971,1924
38,0.524,0.224,0.524,0.626,0.224,240,1978
39,0.13800000000000004,0.712,0.13800000000000004,0.43800000000000006,0.13800000000000004,315,772
40,0.347,0.503,0.647,0.347,0.347,152,1726
41,0.054999999999999966,0.795,0.355,0.054999999999999966,0.054999999999999966,22,1465
42,0.776,0.776,1.0,0.074,1.0,896,1125
43,0.266,0.266,0.266,0.584,0.5660000000000001,138,685
44,0.19299999999999998,0.493,0.657,0.493,0.19299999999999998,683,818
45,0.42800000000000005,0.7280000000000001,0.422,0.42800000000000005,0.42800000000000005,407,1190
46,1.0,0.772,1.0,1.0,0.078,58,619
47,0.934,0.21599999999999994,0.21599999999999994,0.21599999999999994,0,3,1909
48,1.0,1,0.723,0.723,0.127,61,827
49,0.561,0.289,0.8610000000000001,0.561,0.561,328,688
50,0.45999999999999996,0.39,0.76,0.76,0.45999999999999996,723,1115
51,0.785,0.785,0.785,0.365,0.785,584,817
52,0.697,0.697,0.453,0.697,0.697,410,1189
53,0.077,1.0,1.0,0.773,1.0,227,1086
54,0.5399999999999999,0.5399999999999999,0.31,0.84,0.5399999999999999,710,1300
55,0.616,0.616,0.234,0.916,0.616,159,965
56,0.408,0.44200000000000006,0.44200000000000006,0.44200000000000006,0.7420000000000001,129,1165
57,0.44200000000000006,0.708,0.44200000000000006,0.44200000000000006,0.14200000000000004,493,789
58,0.742,0.742,0.108,0.742,0.742,245,1318
59,0.371,0.671,0.479,0.371,0.371,91,1071
60,0.212,0.512,0.638,0.212,0.512,296,1555
61,0.64,0.33999999999999997,0.33999999999999997,0.64,0.51,708,1391
62,0.668,0.368,0.668,0.482,0.368,224,1979
63,0,0,0,0,0.975,183,895
64,0.5519999999999999,0.852,0.852,0.298,0.852,572,1879
65,1.0,1,0.847,0.003,1.0,399,1196
66,0.31000000000000005,0.010000000000000037,0.84,0.31000000000000005,0.31000000000000005,714,1725
67,0.261,0.589,0.261,0.561,0.261,717,849
68,1.0,1,0.704,0.704,0.146,473,1741
69,0.921,0.621,0.621,0.621,0.229,249,384
70,0.554,0.29599999999999993,0.29599999999999993,0.596,0.29599999999999993,245,1736
71,0.788,0.488,0.788,0.488,0.362,383,687
72,0.533,0.533,0.233,0.533,0.617,835,1737
73,0,0,0.28300000000000003,0.28300000000000003,0.867,359,1285
74,0.636,0.33599999999999997,0.636,0.33599999999999997,0.514,94,1397
75,0.781,1,1.0,0.781,0.069,521,833
76,0.615,0.535,0.31499999999999995,0.31499999999999995,0.615,37,1258
77,0.19800000000000004,0,0.952,0.19800000000000004,0.19800000000000004,2,39
78,0.496,0.496,0.796,0.354,0.796,783,1420
79,0.817,0.033,1.0,0.817,0.817,298,812
80,0.402,0.402,0.448,0.7020000000000001,0.402,876,1641
81,0.596,0.554,0.554,0.554,0.554,392,1819
82,0.704,0.44600000000000006,0.14600000000000005,0.44600000000000006,0.44600000000000006,250,1938
83,0.7859999999999999,0.064,1.0,1.0,0.7859999999999999,784,1005
84,0.757,0.093,0.757,1.0,0.757,866,1802
85,0.23800000000000002,0.23800000000000002,0.538,0.612,0.538,834,1681
86,0.403,0.403,0.403,0.747,0.403,637,732
87,0,0,0.20500000000000004,0.20500000000000004,0.945,258,1910
88,0.672,0.478,0.672,0.672,0.672,804,1081
89,0.064,1.0,1.0,0.7859999999999999,1.0,524,1091
90,1.0,1,0.058,0.7919999999999999,0.7919999999999999,101,1233
91,0.5399999999999999,0.5399999999999999,0.84,0.31,0.84,391,735
92,0.44,0.7100000000000001,0.7100000000000001,0.7100000000000001,0.7100000000000001,245,844
93,0.37,0.67,0.37,0.67,0.48,991,1163
94,0.6869999999999999,0.3869999999999999,0.463,0.3869999999999999,0.3869999999999999,22,136
95,0.005,1.0,0.845,1.0,0.845,407,786
96,1.0,1,0.132,0.718,0.718,126,459
97,0.053999999999999965,0.354,0.053999999999999965,0.053999999999999965,0.796,977,1031
98,0.06599999999999998,0.366,0.784,0.366,0.06599999999999998,434,1280
99,0.6849999999999999,0.985,0.6849999999999999,0.165,0.985,166,363
100,1.0,0.769,1.0,1.0,0.081,288,1081
101,0.559,0.2909999999999999,0.2909999999999999,0.591,0.2909999999999999,129,591
102,0.07199999999999998,0.07199999999999998,0.778,0.372,0.07199999999999998,594,1758
103,0.631,0.519,0.631,0.631,0.33099999999999996,693,1765
104,0.373,0.373,0.477,0.373,0.373,462,1879
105,0.482,0.482,0.482,0.482,0.368,594,1333
106,0.32200000000000006,0.32200000000000006,0.828,0.022000000000000047,0.022000000000000047,80,966
107,0.775,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.375,839,928
108,0.485,0.365,0.485,0.485,0.785,805,971
109,0.4600000000000001,0.16000000000000006,0.4600000000000001,0.16000000000000006,0.69,901,1809
110,0,0.29100000000000004,0.859,0.29100000000000004,0.29100000000000004,907,1554
111,0.683,0.16699999999999995,0.46699999999999997,0.16699999999999995,0.16699999999999995,559,676
112,0.66,0.9600000000000001,0.66,0.66,0.19,37,110
113,0.019000000000000045,0.831,0.31900000000000006,0.019000000000000045,0.019000000000000045,16,640
114,0.18300000000000002,0.967,0,0,0,467,1736
115,0.622,0.32199999999999995,0.528,0.32199999999999995,0.622,709,1689
116,0.21,0.64,0.21,0.51,0.51,568,1584
117,0.556,0.594,0.556,0.556,0.256,778,1691
118,0.31600000000000006,0.31600000000000006,0.31600000000000006,0.834,0.31600000000000006,367,507
119,0.477,0.777,0.373,0.477,0.477,909,1191
120,0.8610000000000001,0.289,0.8610000000000001,0.561,0.8610000000000001,837,1523
121,0.622,0.922,0.922,0.228,0.922,962,1277
122,1.0,1,0.847,0.003,1.0,70,1602
123,0.08399999999999999,0.384,0.08399999999999999,0.766,0.08399999999999999,633,1971
124,0.257,0.257,0.893,0,0,906,1430
125,0.508,0.508,0.508,0.508,0.642,967,1922
126,0.406,0.406,0.744,0.10600000000000001,0.406,812,1902
127,0.253,0.253,0.553,0.553,0.597,192,899
128,0.704,0.704,0.704,0.704,0.146,515,1604
129,0.3989999999999999,0.3989999999999999,0.699,0.699,0.451,148,1238
130,0.21799999999999994,0,0.21799999999999994,0.932,0,325,985
131,0.511,0.511,0.211,0.639,0.511,899,1820
132,0.16599999999999995,0.46599999999999997,0.16599999999999995,0.684,0.46599999999999997,439,552
133,0.349,0.349,0.04899999999999996,0.801,0.349,724,1640
134,0.707,0.44300000000000006,0.14300000000000004,0.44300000000000006,0.14300000000000004,788,1320
135,0.693,0.693,0.693,0.457,0.693,401,528
136,1.0,0.047,1.0,0.8029999999999999,0.8029999999999999,151,802
137,0.816,0.03400000000000006,0.3340000000000001,0.3340000000000001,0.03400000000000006,977,1938
138,0.511,0.639,0.211,0.211,0.211,350,739
139,0.673,0.373,0.477,0.373,0.373,651,969
140,0.641,0.209,0.509,0.509,0.509,91,432
141,0.12200000000000003,0.12200000000000003,0.728,0.42200000000000004,0.12200000000000003,572,1533
142,0,0.854,0,0.29600000000000004,0.29600000000000004,955,1839
143,1.0,0.761,0.761,0.089,0.761,86,142
144,0.161,0,0,0.989,0.161,183,251
145,0.19899999999999998,0.19899999999999998,0.651,0.19899999999999998,0.499,71,1433
146,0.054999999999999966,0.355,0.355,0.054999999999999966,0.795,375,964
147,0.987,0,0,0.163,0.163,608,1533
148,0,0,0.997,0,0,732,1124
149,0.17799999999999996,0.17799999999999996,0.17799999999999996,0.478,0.672,509,1537
150,0.506,0.344,0.344,0.344,0.644,808,1978
151,0.42600000000000005,0.724,0.12600000000000003,0.42600000000000005,0.42600000000000005,747,1038
152,0,0.155,0.995,0.155,0.155,998,1267
153,0.13700000000000004,0.13700000000000004,0.713,0.13700000000000004,0.43700000000000006,910,1242
154,0.712,1,0.138,1.0,1,646,1671
155,0.8089999999999999,0.041,1.0,1.0,0.8089999999999999,521,1709
156,0.14000000000000004,0.44000000000000006,0.71,0.14000000000000004,0.44000000000000006,849,1755
157,0.678,0.17199999999999996,0.17199999999999996,0.17199999999999996,0.472,870,1252
158,0.19700000000000004,0.953,0,0,0,212,849
159,0.741,1,1.0,0.741,0.109,406,1111
160,0.686,0.386,0.386,0.464,0.386,484,832
161,0.304,0.846,0.846,0.5459999999999999,0.846,502,1800
162,0.76,0.45999999999999996,0.45999999999999996,0.76,0.39,624,837
163,0.989,0,0.161,0,0.161,724,746
164,1.0,1,0.8059999999999999,1.0,0.044,114,824
165,0.43299999999999994,0.417,0.43299999999999994,0.733,0.43299999999999994,973,1430
166,0.522,0.628,0.522,0.222,0.522,926,1164
167,1.0,0.003,0.847,0.847,0.847,645,960
168,0.793,0.793,0.357,0.793,0.493,495,1147
169,0.633,0.33299999999999996,0.633,0.517,0.633,104,1241
170,0.927,0,0.22299999999999995,0.22299999999999995,0.22299999999999995,562,1509
171,0.365,0.365,0.485,0.665,0.665,729,1892
172,0.093,0.757,0.093,0.093,0.093,294,309
173,0.788,0.788,0.362,0.788,0.488,35,126
174,0.37,0.37,0.37,0.48,0.67,101,881
175,0.2919999999999999,0.558,0.2919999999999999,0.592,0.592,429,1036
176,0.708,0.44200000000000006,0.44200000000000006,0.14200000000000004,0.14200000000000004,75,1279
177,0.19999999999999998,0.5,0.5,0.65,0.19999999999999998,739,758
178,0.31599999999999995,0.31599999999999995,0.616,0.616,0.534,865,1294
179,0.23,0.92,0.92,0.62,0.92,738,1291
180,0.28,0.28,0.28,0,0.87,343,1758
181,0.531,0.231,0.531,0.531,0.619,464,1971
182,1.0,0.015,1.0,0.835,0.835,364,1948
183,0.30100000000000005,0.0010000000000000286,0.0010000000000000286,0.0010000000000000286,0.849,161,1590
184,0.995,0.695,0.695,0.155,0.695,645,1021
185,0.9420000000000001,0.9420000000000001,0.9420000000000001,0.642,0.208,703,1942
186,0.05699999999999997,0.357,0.05699999999999997,0.357,0.793,20,247
187,0.5,0.5,0.5,0.65,0.5,215,1923
188,0.31799999999999995,0.618,0.31799999999999995,0.532,0.618,67,1179
189,0.392,0.758,0.45799999999999996,0.45799999999999996,0.758,433,1035
190,0.794,0.494,0.794,0.494,0.356,684,1787
191,0,0,0,0,0.97,817,1933
192,0,0,0,0.854,0,656,930
193,0.629,0.521,0.221,0.221,0.521,507,1969
194,0.656,0.356,0.494,0.356,0.656,829,1160
195,0.789,0.789,0.061,0.789,0.789,498,1228
196,0.152,0.998,0.998,0.698,0.698,357,507
197,0.799,0.351,0.351,0.05099999999999996,0.05099999999999996,177,422
198,0.266,0.884,0.884,0.584,0.584,123,396
199,0.838,0.312,0.5379999999999999,0.5379999999999999,0.5379999999999999,822,1034
200,0.163,0.987,0.163,0,0,198,530
201,0.81,0.33999999999999997,0.33999999999999997,0.03999999999999995,0.03999999999999995,246,1113
202,0.33999999999999997,0.64,0.64,0.51,0.33999999999999997,442,1489
203,0.9680000000000001,0.9680000000000001,0.668,0.182,0.9680000000000001,703,816
204,1.0,0.106,0.744,1.0,0.744,664,1029
205,0.731,0.731,0.731,0.419,0.43099999999999994,803,1664
206,0.352,0.798,0.05199999999999996,0.05199999999999996,0.352,186,1820
207,0.5459999999999999,0.846,0.846,0.846,0.304,768,933
208,0.066,0.7839999999999999,0.7839999999999999,0.7839999999999999,1.0,395,1675
209,0.269,0,0.881,0.269,0,282,1379
210,0,0,0.89,0,0,351,1617
211,0.601,0.30099999999999993,0.549,0.601,0.601,218,251
212,1.0,1,1.0,0.761,0.089,549,1026
213,0.799,0.499,0.351,0.799,0.499,669,886
214,0.49,0.49,0.36,0.79,0.49,599,1099
215,0.6900000000000001,0.39,0.6900000000000001,0.46,0.39,989,1670
