id,x,y,z,ts_in,ts_out
0,0.386,0.764,0.086,107,157
1,0.464,0.686,0.386,505,1169
2,0.765,0.085,1.0,155,1182
3,1.0,0.061,1.0,845,897
4,0.756,0.394,0.394,651,1044
5,0.238,0.612,0.538,568,1401
6,0.789,1.0,0.061,797,1713
7,0.267,0.883,0.583,93,1701
8,0.496,0.654,0.496,136,1406
9,1.0,0.021,1.0,333,1746
10,0.538,0.538,0.612,374,683
11,1.0,0.001,0.849,849,1872
12,0.036,1.0,0.814,5,1290
13,0.185,0.965,0.665,578,753
14,0.345,0.505,0.805,495,1333
15,0.858,0.292,0.858,505,1083
16,0.819,1.0,0.031,456,699
17,0.311,0.839,0.539,330,1618
18,0.962,0,0.188,756,996
19,0.548,0.302,0.548,963,1946
20,0.55,0.3,0.55,58,910
21,0.204,0.946,0,972,1182
22,0.781,0.369,0.481,939,1558
23,0.325,0.825,0.525,332,852
24,0.008,0.842,1,867,1985
25,0.348,0.802,0.802,144,470
26,0.79,0.49,0.36,688,981
27,0.392,0.758,0.458,122,1625
28,0,0.25,0.9,390,479
29,0.161,0.161,0.689,509,1688
30,0.351,0.499,0.351,343,450
31,0.385,0.385,0.765,822,1431
32,0.624,0.526,0.324,21,1039
33,0.203,0.203,0.947,854,1147
34,0,0.937,0,977,1584
35,0.702,0.148,0.702,442,474
36,0.971,0,0,597,1203
37,0.51,0.34,0.81,480,1144
38,0,0.932,0.218,87,1021
39,0.415,0.435,0.435,162,1760
40,0,0.852,0.298,820,877
41,1.0,1.0,0.0,403,1736
42,0.94,0.21,0.21,589,1601
43,0.406,0.106,0.744,602,1633
44,1.0,0.761,0.089,140,1350
45,0.233,0.233,0.617,588,1011
46,0.311,0.539,0.539,201,1696
47,0,0.968,0,191,1832
48,0.344,0.344,0.806,514,522
49,0.185,0.965,0.185,935,1018
50,0.026,0.824,0.026,281,946
51,0.695,0.155,0.695,450,659
52,0.522,0.328,0.822,351,1797
53,0.303,0.847,0.847,196,1960
54,0.016,0.834,0.016,724,1473
55,0,0.19,0.96,602,1254
56,0.904,0.246,0.246,18,1175
57,0.282,0.868,0,771,1124
58,0.497,0.653,0.197,501,963
59,0.992,0.992,0.158,814,1422
60,0.676,0.376,0.474,952,1153
61,0.714,0.414,0.436,444,1054
62,0.752,0.098,1.0,40,55
63,0,0.895,0,267,676
64,0.805,0.345,0.345,400,1234
65,0.456,0.394,0.456,320,1434
66,0.914,0.236,0.914,681,1937
67,1.0,1.0,0.143,275,1562
68,0.801,0.801,0.349,866,1501
69,0.773,0.773,0.377,37,1647
70,0.686,0.986,0.164,707,898
71,0.162,0.988,0.688,222,1546
72,0.656,0.194,0.494,924,1247
73,0.023,0.827,1,245,520
74,0.755,0.095,0.755,83,578
75,0.56,0.86,0.29,99,1066
76,0.26,0.59,0.89,102,297
77,0.135,0.435,0.715,687,1321
78,0.144,1.0,0.706,276,405
79,0.398,0.698,0.452,224,1782
80,0.029,0.821,0.029,550,932
81,0,0.995,0,678,1567
82,0.15,0.45,0.7,937,1599
83,0.467,0.383,0.767,129,926
84,0.238,0.912,0.238,659,1505
85,0.263,0,0.887,723,1886
86,0.695,0.155,0.455,135,1247
87,1.0,0.017,0.833,632,658
88,0.1,0.4,0.75,15,1306
89,0.462,0.388,0.688,271,801
90,0.553,0.597,0.297,967,1042
91,0.321,0.529,0.321,646,1880
92,0.625,0.625,0.225,229,1178
93,0.161,0.989,0,992,1136
94,0.455,0.455,0.695,17,1254
95,0.787,0.063,0.363,446,1706
96,0.2,0,0.95,689,1475
97,0.465,0.685,0.465,784,1441
98,0.893,0,0,124,1606
99,0.393,0.457,0.693,493,953
100,0.211,0.639,0.939,927,1681
101,0.176,0.476,0.674,494,898
102,0.762,0.388,0.462,542,578
103,0.736,0.414,0.436,660,774
104,0.052,0.052,0.798,402,1607
105,0.054,0.796,1,623,1720
106,0.288,0.862,0,5,1979
107,0.026,1.0,1,895,1471
108,0.32,0.62,0.53,340,1825
109,0.308,0.542,0.608,618,1946
110,0.061,0.789,0.361,125,229
111,0.3,0.85,0.0,24,745
112,0.169,0.681,0.169,132,1491
113,0.775,0.075,0.075,533,836
114,0,0.182,0.968,181,1705
115,0.821,0.029,0.029,487,1474
116,0.59,0.26,0.56,208,1478
117,0.17,0.17,0.98,279,1524
118,0.036,0.036,0.814,504,785
119,0.676,0.676,0.174,164,1567
120,0.892,0,0,128,663
121,0.516,0.334,0.816,169,356
122,0.082,0.768,0.768,644,693
123,0,0.999,0.151,619,1383
124,0.756,0.394,0.094,907,1364
125,0.432,0.718,0.718,597,1977
126,0.992,0.158,0,599,1368
127,0.116,0.416,0.734,784,1616
128,0.597,0.597,0.253,170,754
129,0.006,0.306,0.844,462,766
130,0.391,0.459,0.459,475,690
131,0,0,0.933,948,994
132,0.105,1.0,0.745,323,834
133,0.559,0.591,0.291,498,787
134,0.421,0.729,0.121,7,1913
135,0.176,0.674,0.476,446,1635
136,0.107,1.0,1,851,1220
137,0.18,0.67,0.97,508,1293
138,0.468,0.382,0.768,988,1441
139,0.603,0.247,0.247,822,1327
140,0.161,0.689,0.161,640,1988
141,0.184,0.966,0.184,862,1965
142,0.383,0.683,0.467,532,622
143,0,0.955,0,29,1599
144,1.0,0.077,0.773,687,867
145,0.079,0.079,0.771,835,1414
146,0.163,0.163,0.687,33,1275
147,0.464,0.386,0.464,963,1947
148,0.055,1.0,1,280,906
149,0.122,0.122,0.728,649,799
150,0.551,0.551,0.299,821,1950
151,0.438,0.712,0.712,995,1635
152,0.084,0.384,0.766,392,884
153,0.803,0.347,0.503,139,968
154,0.801,1.0,0.049,668,1361
155,0.238,0.612,0.612,359,1506
156,0.345,0.505,0.505,639,1085
157,0.018,0.832,1,47,336
158,0.408,0.442,0.442,37,675
159,0.422,0.122,0.728,125,955
160,0.584,0.566,0.584,206,550
161,0.899,0.599,0.251,192,730
162,0.696,0.154,0.996,318,1306
163,0.663,0.487,0.363,720,1420
164,0.023,0.827,1,774,1523
165,0.084,0.766,0.084,947,990
166,0.795,0.355,0.055,320,638
167,0.307,0.843,0.307,618,1135
168,0.401,0.449,0.749,857,1820
169,0,0,0.987,396,725
170,0,0,0.978,197,1774
171,0.675,0.475,0.475,864,1708
172,0.808,0.042,1.0,73,1497
173,0,0.852,0,617,721
174,0.547,0.303,0.303,870,1122
175,0.182,0,0.968,848,1552
176,0.766,0.384,0.084,639,1475
177,0.567,0.583,0.283,478,1293
178,0.031,0.819,1,343,1062
179,0.579,0.571,0.571,169,1845
180,0.301,0.849,0.301,928,1511
181,0.437,0.713,0.137,135,1102
182,0.542,0.242,0.608,805,837
183,0.029,0.821,0.029,603,1252
184,1.0,0.079,0.771,78,801
185,0.991,0.159,0,840,1815
186,0.583,0.267,0.567,64,1953
187,0,0.856,0,703,1761
188,0.555,0.295,0.555,51,813
189,0.319,0.319,0.831,878,1769
190,0.929,0,0.221,370,1853
191,0.633,0.217,0.633,554,1563
192,0.262,0.888,0.262,847,915
193,0.979,0.171,0,278,602
194,0.343,0.807,0.343,832,1498
195,0.236,0.614,0.614,718,743
196,0.54,0.31,0.31,739,1501
197,0.563,0.563,0.287,512,572
198,0.159,0.159,0.991,675,1454
199,0.874,0.276,0.276,778,1864
200,0.852,0.298,0.298,934,1069
201,0.547,0.603,0.247,495,1780
202,0.684,0.166,0.166,333,698
203,0.438,0.438,0.712,961,1416
204,0.837,0.837,0.313,908,1567
205,0.336,0.814,0.336,174,1092
206,0.704,0.146,0.704,469,995
207,0.737,0.413,0.437,121,1279
208,0.547,0.547,0.303,506,1254
209,1.0,0.132,1.0,328,484
210,0.539,0.611,0.311,615,1530
211,0.02,1.0,0.83,413,948
212,0.623,0.323,0.527,646,1739
213,0.312,0.838,0.012,787,1135
214,0.088,0.088,0.762,212,295
215,0.772,0.378,0.078,574,707
216,0.173,0.977,0.677,910,1493
217,0.726,0.124,0.424,737,1098
218,0,0.984,0.166,207,665
219,0.942,0.208,0.942,724,1573
220,0.678,0.472,0.472,319,1218
221,0.716,0.416,0.434,193,1291
222,0,0.293,0.857,602,664
223,0.448,0.402,0.748,119,155
224,0.358,0.058,0.792,905,1180
225,0.806,0.044,0.344,747,985
226,1.0,0.018,1.0,512,1864
227,0,0.911,0.239,987,1891
228,0.605,0.545,0.245,191,1775
229,0.334,0.516,0.634,552,697
230,0.458,0.392,0.392,485,1484
231,0.908,0,0,842,1477
232,0.327,0.327,0.523,982,1244
233,0.898,0.898,0.252,267,1057
234,0.448,0.402,0.402,710,1655
235,0.23,0.92,0,979,1376
236,1.0,0.093,0.757,844,1611
237,0.438,0.712,0.438,543,851
238,0.193,0,0.957,558,1518
239,0.811,0.339,0.339,350,1608
240,0.649,0.349,0.501,272,1455
241,0.479,0.671,0.371,568,769
242,0.555,0.295,0.855,410,1993
243,0.329,0.521,0.629,68,1234
244,0.918,0.232,0.618,38,1966
245,0.189,0,0.961,876,1474
246,0.825,0.525,0.325,905,1581
247,0.431,0.431,0.719,481,1964
248,0.519,0.631,0.519,553,1072
249,0.588,0.562,0.288,813,1426
250,0.673,0.673,0.477,910,1778
251,0.727,0.123,0.423,905,1356
252,0.169,0,0.981,104,157
253,0.845,0.545,0.305,803,1552
254,0.572,0.578,0.272,528,695
255,0.461,0.689,0.461,502,1077
256,0.483,0.667,0.667,374,1349
257,0.519,0.519,0.631,146,738
258,0.637,0.937,0.213,527,785
259,0.218,0.632,0.218,172,369
260,0.075,0.775,1,561,1430
261,0.211,0.939,0,894,1712
262,0.377,0.473,0.677,509,705
263,0.374,0.374,0.776,741,1099
264,0.368,0.782,0.782,570,1890
265,0.547,0.303,0.547,568,1768
266,0,0,0.916,408,1580
267,0.27,0.58,0.58,161,756
268,0.234,0.616,0.916,756,833
269,0.956,0,0,328,771
270,0.981,0.981,0.169,967,1829
271,0.365,0.785,0.485,364,828
272,0.647,0.947,0.203,760,1726
273,0.223,0.627,0.927,693,1804
274,0.755,0.395,0.095,554,1041
275,0.143,0.707,1,902,963
276,0.482,0.668,0.482,551,1761
277,0.51,0.34,0.34,935,1177
278,0.046,0.804,0.046,72,823
279,0.627,0.523,0.627,395,1652
280,0.452,0.452,0.398,59,344
281,0.911,0.239,0.611,980,1142
282,0.989,0,0.161,580,685
283,0.335,0.335,0.815,268,1096
284,0.097,1.0,0.753,389,1417
285,0.296,0.854,0.296,682,1517
286,0,0,0.953,358,1335
287,0.343,0.807,0.043,853,1773
288,0.061,0.789,0.061,948,1687
289,0.248,0.602,0.902,319,1196
290,0.809,1.0,0.041,868,1451
291,0.57,0.28,0.58,307,1933
292,0.408,0.742,0.408,265,418
293,0.713,0.437,0.713,149,164
294,0.459,0.459,0.391,904,1517
295,0.108,0.742,1,714,1287
296,0.256,0.594,0.256,865,1981
297,0.837,0.013,1.0,463,1716
298,1.0,0.061,0.789,754,1601
299,1.0,0.084,0.766,986,1930
300,0.167,0.983,0.167,145,709
301,0.758,0.392,0.458,176,1971
302,0.879,0.271,0,678,1074
303,0.16,0.16,0.99,751,1780
304,0.593,0.257,0.893,138,509
305,0.827,0.023,0.827,891,1968
306,0.397,0.097,0.753,274,1755
307,0.092,1.0,1,216,807
308,0.318,0.618,0.532,75,876
309,0.169,0.681,0.981,318,1176
310,0,0.212,0.938,4,122
311,0.039,0.811,1,482,975
312,0.581,0.269,0.569,494,521
313,0.944,0.206,0.206,31,744
314,0.994,0.156,0.156,840,1460
315,0.786,0.786,0.064,11,1044
316,0.028,0.822,1,164,1240
317,0.706,0.444,0.406,983,1012
318,0.664,0.364,0.486,978,1378
319,0.302,0.548,0.548,300,1675
320,0.852,0.298,0.852,552,871
321,0.858,0.292,0,897,1737
322,0.646,0.204,0.646,258,956
323,1.0,0.709,0.141,638,1025
324,0.992,0.158,0.158,234,1010
325,0.128,0.722,1,168,284
326,0.82,0.82,0.03,989,1863
327,1.0,0.105,0.745,801,1028
328,0.354,0.496,0.654,601,1405
329,0.428,0.722,0.128,743,993
330,0.88,0.27,0,117,333
331,0.347,0.503,0.803,79,1577
332,0.273,0.877,0.273,406,809
333,0.555,0.295,0.855,488,719
334,0.66,0.49,0.19,942,1269
335,0.275,0.575,0.575,800,1013
336,0.677,0.473,0.173,838,896
337,0,0.985,0.165,847,979
338,0.234,0.234,0.916,419,1207
339,0.013,0.837,0.313,258,264
340,0.819,0.331,0.331,768,943
341,0.423,0.727,0.427,181,865
342,0.617,0.233,0.533,105,983
343,0.019,0.831,0.019,760,951
344,0.47,0.68,0.17,455,1675
345,0.633,0.633,0.217,638,767
346,0.964,0.186,0.664,239,570
347,0,0.955,0,681,1764
348,0.15,0.7,1.0,60,920
349,0.355,0.795,0.495,581,938
350,0.693,0.993,0.157,359,1053
351,0.382,0.768,0.768,820,1235
352,0.013,0.013,0.837,198,1165
353,0.807,0.043,0.043,300,597
354,0.742,0.442,0.408,498,521
355,0.031,1.0,1,757,999
356,0.198,0.652,0.498,868,1030
357,0.262,0.888,0,540,1701
358,0.876,0.274,0.576,666,1071
359,0.094,0.094,0.756,317,1227
360,0.162,0.688,0.688,35,962
361,0.503,0.347,0.803,420,870
362,0.38,0.38,0.47,323,1256
363,0.925,0.225,0.925,936,1121
364,0.924,0.226,0,490,934
365,0.563,0.563,0.287,867,1142
366,0.033,1.0,1,753,1750
367,0.283,0.867,0,20,562
368,0.335,0.515,0.815,725,1423
369,0.024,0.826,0.324,485,1329
370,0.637,0.513,0.337,444,1302
371,0.47,0.47,0.38,125,1255
372,0.946,0,0.204,779,1295
373,0.93,0.22,0.93,130,1021
374,0.394,0.756,0.094,242,435
375,0.454,0.696,0.396,210,291
376,0.381,0.681,0.469,885,1149
377,0.96,0.19,0.96,546,1017
378,0.353,0.497,0.353,768,1861
379,0.163,0.687,0.163,325,1408
380,0.783,0.367,0.483,946,1372
381,0.205,0.945,0,660,1684
382,0.8,0.8,0.05,10,1312
383,0.126,0.724,0.724,119,1273
384,0.593,0.593,0.257,775,978
385,0.94,0,0.21,455,756
386,0.168,0.982,0.168,510,1997
387,0.915,0.615,0.235,223,947
388,1.0,1.0,0.112,42,1811
389,0.028,1.0,1,278,623
390,0.618,0.918,0.232,599,1135
391,0.284,0.566,0.584,33,148
392,0.811,0.339,0.039,165,962
393,0.859,0.559,0.291,588,642
394,0.785,0.785,0.065,598,612
395,0.337,0.513,0.813,456,1904
396,0,0.879,0.271,816,909
397,0.404,0.404,0.446,254,503
398,0,0,0.879,742,1350
399,0.18,0.18,0.97,781,1549
400,0.344,0.344,0.506,74,190
401,0.17,0,0.98,313,1106
402,0.844,0.544,0.306,404,1390
403,0.937,0.213,0.213,842,1814
404,0.025,0.825,1,923,1611
405,0.581,0.581,0.569,616,1686
406,0.76,0.39,0.76,228,1069
407,1.0,1.0,0.053,35,1700
408,0.397,0.397,0.453,765,1236
409,0.376,0.774,0.376,666,1891
410,0.59,0.56,0.26,804,1816
411,0.55,0.85,0.3,802,1159
412,0.145,0.445,0.705,597,1443
413,0.694,0.694,0.156,413,430
414,0.321,0.829,0.529,226,643
415,0.946,0,0.204,898,1307
416,0.572,0.572,0.578,498,689
417,0.149,0.701,1,727,1735
418,0.613,0.613,0.237,530,626
419,0.301,0.601,0.549,334,1075
420,0.708,0.142,0.442,746,1640
421,0.461,0.389,0.461,741,1158
422,0.587,0.587,0.263,535,1356
423,0.166,0.984,0,727,1075
424,0.203,0.647,0.503,10,923
425,0.332,0.518,0.632,740,1385
426,0.183,0,0.967,946,1912
427,0.505,0.645,0.645,902,1927
428,0.733,0.417,0.117,411,1147
429,0.762,1.0,0.088,598,1173
430,0.658,0.492,0.658,822,1041
431,0.913,0.613,0.237,210,887
432,0.245,0.905,0,806,1305
433,0.464,0.764,0.386,220,792
434,0.497,0.653,0.497,903,1891
435,0.919,0.919,0.231,542,923
436,0.303,0.547,0.847,262,1721
437,0.79,0.36,0.49,963,1566
438,0.604,0.246,0.604,640,1746
439,0.366,0.784,0.366,625,1441
440,0.544,0.306,0.544,413,1883
441,0,0.995,0.155,968,1236
442,0.567,0.583,0.567,425,788
443,0.647,0.347,0.503,166,1921
444,0.297,0.297,0.853,750,1009
445,0.187,0.663,0.963,433,1273
446,0.709,1.0,0.141,603,1400
447,0.009,1.0,1,327,1307
448,0,0.931,0.219,450,546
449,0.68,0.17,0.47,505,1914
450,0.202,0.202,0.648,92,1354
451,0.969,0.181,0.669,757,791
452,0.328,0.628,0.522,2,166
453,0.263,0.887,0.263,936,1030
454,0.062,0.062,0.788,365,1764
455,0.653,0.653,0.197,495,1877
456,0.82,0.03,0.82,625,939
457,0.843,1.0,0.007,622,1269
458,0.011,0.011,0.839,584,1887
459,0.793,0.357,0.057,893,967
460,0.238,0.912,0.238,901,1855
461,0.233,0.917,0.233,159,408
462,0.64,0.51,0.34,633,1540
463,0.621,0.621,0.229,926,1764
464,1.0,1.0,0.009,61,192
465,0.528,0.322,0.322,146,1383
466,0.343,0.643,0.507,277,758
467,0.573,0.277,0.277,891,1926
468,0.592,0.258,0.592,2,1624
469,0.733,0.117,1.0,444,1325
470,0.992,0.158,0.692,983,1379
471,0.824,0.824,0.326,350,1788
472,0.216,0.516,0.634,118,1172
473,0.115,1.0,0.735,700,1473
474,0,0.285,0.865,314,1715
475,0.051,0.351,0.799,537,829
476,0.469,0.769,0.381,565,1644
477,0.603,0.247,0.903,142,1529
478,0.467,0.383,0.767,297,726
479,0.281,0.869,0.569,2,1780
480,0.562,0.588,0.288,986,1497
481,0.411,0.739,0.439,261,662
482,0.119,1.0,0.731,981,1753
483,0.841,0.309,0.541,150,1117
484,0.237,0.913,0.913,65,294
485,1.0,0.05,0.8,817,1164
486,0.604,0.246,0.546,583,742
487,0.431,0.719,0.431,114,1186
488,1.0,0.808,0.042,967,1888
489,0.611,0.911,0.239,270,445
490,0,0.875,0.275,844,1761
491,0.273,0.577,0.573,446,777
492,0.103,0.747,0.403,755,1564
493,0.266,0.584,0.584,434,1202
494,0.248,0.902,0.248,116,402
495,0.487,0.663,0.663,727,1576
496,0.551,0.599,0.551,30,847
497,0.677,0.473,0.473,339,2000
498,0.198,0.498,0.652,327,1367
499,0.227,0.623,0.227,654,1804
500,0.461,0.389,0.389,792,1983
501,0.441,0.409,0.709,661,1074
502,0,0.898,0.252,156,1309
503,0.478,0.372,0.778,74,1756
504,0.984,0.166,0.984,392,655
505,0.277,0.873,0,152,472
506,0.725,0.425,0.425,763,1259
507,0.158,0.692,0.992,303,1893
508,0.311,0.611,0.539,525,1374
509,0.498,0.798,0.352,529,579
510,0.927,0.223,0.627,130,1118
511,0.838,0.312,0.012,845,1549
512,0.632,0.218,0.518,586,1520
513,1.0,0.14,0.71,507,1920
514,0,0.939,0.211,280,706
515,1.0,1.0,0.08,457,687
516,0.354,0.496,0.496,216,1285
517,0.218,0.932,0.932,189,540
518,0.285,0.285,0.565,513,1353
519,0.636,0.514,0.336,432,1711
520,0.616,0.234,0.616,496,1826
521,0.201,0.949,0,537,1692
522,0.672,0.178,0.972,898,1058
523,0.652,0.952,0.198,210,1521
524,0.493,0.657,0.193,329,835
525,0,0.882,0.268,697,1740
526,0.257,0.893,0.893,489,1089
527,0.816,0.034,0.034,98,209
528,0.399,0.751,0.751,82,764
529,0.571,0.579,0.279,298,1453
530,0,0,0.98,315,993
531,0.784,1.0,0.066,148,1463
532,0.714,1.0,0.136,356,1733
