id,t,u,time_in,time_out
0,0.673,0.142,346,908
1,0.671,0.156,3,1340
2,0.727,0.386,456,1219
3,0.722,0.431,3,1375
4,0.673,0.125,326,765
5,0.668,0.367,117,490
6,0.675,0.125,943,1350
7,0.675,0.136,417,1214
8,0.678,0.125,176,486
9,0.677,0.164,402,872
10,0.677,0.558,552,1944
11,0.748,0.419,563,1315
12,0.711,0.372,727,1162
13,0.676,0.594,907,1343
14,0.649,0.436,318,1510
15,0.647,0.142,89,1419
16,0.677,0.719,766,1210
17,0.652,0.2,908,1391
18,0.649,0.0,756,1733
19,0.649,0.106,601,1237
20,0.648,0.197,810,1651
21,0.747,0.581,709,1985
22,0.717,0.317,594,1604
23,0.651,0.15,279,1557
24,0.65,0.061,129,1217
25,0.646,0.375,381,437
26,0.645,0.453,719,1329
27,0.768,0.411,222,1015
28,0.729,0.375,354,1962
29,0.71,0.325,10,1383
30,0.701,0.339,839,1636
31,0.654,0.292,407,1255
32,0.653,0.283,821,1693
33,0.652,0.064,943,1288
34,0.652,0.114,996,1895
35,0.752,0.125,248,765
36,0.702,0.347,57,1630
37,0.651,0.256,100,796
38,0.713,0.272,550,553
39,0.696,0.983,639,1757
40,0.7,0.964,352,1662
41,0.666,0.961,665,1693
42,0.657,0.197,658,1039
43,0.701,0.917,225,802
44,0.694,0.356,953,962
45,0.656,0.189,365,1418
46,0.654,0.261,874,1689
47,0.657,0.275,517,618
48,0.647,0.183,682,1176
49,0.645,0.278,102,423
50,0.703,0.325,203,379
51,0.71,0.897,620,1931
52,0.699,0.2,213,1733
53,0.651,0.219,511,1242
54,0.649,0.225,738,1002
55,0.706,0.875,752,872
56,0.648,0.206,899,1532
57,0.644,0.189,914,1241
58,0.645,0.031,46,504
59,0.645,0.117,434,1166
60,0.645,0.208,786,975
61,0.765,0.297,181,1250
62,0.701,0.25,918,1038
63,0.65,0.111,593,1467
64,0.648,0.136,908,1218
65,0.646,0.175,123,160
66,0.65,0.164,191,776
67,0.757,0.036,509,1424
68,0.71,0.15,572,591
69,0.684,0.222,926,1463
70,0.737,0.461,465,1057
71,0.78,0.125,453,567
72,0.75,0.317,77,770
73,0.739,0.017,747,1667
74,0.681,0.083,916,1419
75,0.742,0.328,11,1245
76,0.733,0.444,770,1219
77,0.656,0.906,830,1911
78,0.728,0.275,752,1021
79,0.736,0.425,611,672
80,0.724,0.219,609,1129
81,0.712,0.397,89,1627
82,0.738,0.978,27,1305
83,0.736,0.039,775,1373
84,0.658,0.117,51,1760
85,0.741,0.994,176,1354
86,0.73,0.922,83,891
87,0.726,0.05,719,1202
88,0.723,0.175,451,1212
89,0.712,0.85,13,1223
90,0.652,0.283,587,677
91,0.723,0.036,263,1264
92,0.664,0.983,249,1681
93,0.797,0.481,280,1000
94,0.772,0.197,150,1582
95,0.741,0.086,822,1912
96,0.795,0.456,789,1910
97,0.727,0.2,815,1324
98,0.664,0.164,438,1117
99,0.665,0.094,566,1344
100,0.777,0.125,763,1251
101,0.696,0.233,44,1444
102,0.694,0.117,274,1568
103,0.742,0.283,826,1943
104,0.667,0.472,328,1265
105,0.651,0.586,294,1728
106,0.795,0.089,102,1169
107,0.754,0.158,675,1986
108,0.742,0.967,357,1955
109,0.665,0.925,28,1325
110,0.825,0.292,977,1460
111,0.73,0.9,823,1539
112,0.713,0.922,285,384
113,0.713,0.244,476,1539
114,0.666,0.283,316,1883
115,0.828,0.308,215,865
116,0.773,0.147,102,1321
117,0.739,0.161,469,794
118,0.67,0.211,295,1230
119,0.735,0.047,74,1698
120,0.706,0.275,192,1378
121,0.796,0.0,115,1562
122,0.792,0.344,357,675
123,0.73,0.331,392,1193
124,0.738,0.889,619,620
125,0.675,0.311,913,1325
126,0.75,0.231,759,1365
127,0.704,0.003,736,1231
128,0.685,0.347,136,851
129,0.677,0.103,168,882
130,0.759,0.989,928,1462
131,0.717,0.853,438,1901
132,0.775,0.136,993,1416
133,0.762,0.156,580,1160
134,0.658,0.019,23,1173
135,0.808,0.331,10,679
136,0.763,0.961,226,482
137,0.748,0.033,518,1183
138,0.719,0.956,364,885
139,0.645,0.219,641,1690
140,0.805,0.633,982,1188
141,0.734,0.789,171,1840
142,0.735,0.311,549,589
143,0.749,0.831,500,900
144,0.732,0.375,103,283
145,0.707,0.375,432,1461
146,0.768,0.244,759,1512
147,0.814,0.611,114,560
148,0.738,0.006,949,1461
149,0.657,0.094,630,1597
150,0.821,0.264,709,1712
151,0.758,0.803,589,837
