id,t,u,v,time_in,time_out
0,0.673,0.142,0.045,939,1805
1,0.671,0.156,0.03,469,1752
2,0.727,0.386,0.136,721,1776
3,0.722,0.431,0.273,815,1413
4,0.673,0.125,0.03,254,806
5,0.668,0.367,0.091,660,1841
6,0.675,0.125,0.106,372,646
7,0.675,0.136,0.061,82,466
8,0.678,0.125,0.136,644,881
9,0.677,0.164,0.152,484,1448
10,0.677,0.558,0.061,231,1200
11,0.748,0.419,0.167,277,1331
12,0.711,0.372,0.333,268,292
13,0.676,0.594,0.106,881,1116
14,0.649,0.436,0.061,512,864
15,0.647,0.142,0.106,960,1568
16,0.677,0.719,0.015,839,1023
17,0.652,0.2,0.106,518,872
18,0.649,0.0,0.061,226,1159
19,0.649,0.106,0.076,750,1920
20,0.648,0.197,0.136,245,1312
21,0.747,0.581,0.258,601,731
22,0.717,0.317,0.348,878,1427
23,0.651,0.15,0.121,449,1927
24,0.65,0.061,0.136,944,1297
25,0.646,0.375,0.091,461,1381
26,0.645,0.453,0.152,894,1849
27,0.768,0.411,0.242,688,811
28,0.729,0.375,0.015,872,1867
29,0.71,0.325,0.364,859,981
30,0.701,0.339,0.455,683,1633
31,0.654,0.292,0.106,749,1147
32,0.653,0.283,0.091,137,1114
33,0.652,0.064,0.091,940,1118
34,0.652,0.114,0.136,234,1526
35,0.752,0.125,0.288,580,1802
36,0.702,0.347,0.424,662,895
37,0.651,0.256,0.106,945,1850
38,0.713,0.272,0.455,460,1814
39,0.696,0.983,0.182,706,871
40,0.7,0.964,0.045,991,1286
41,0.666,0.961,0.03,89,1825
42,0.657,0.197,0.136,170,1926
43,0.701,0.917,0.409,79,1190
44,0.694,0.356,0.076,278,482
45,0.656,0.189,0.121,403,1364
46,0.654,0.261,0.106,135,670
47,0.657,0.275,0.091,84,1042
48,0.647,0.183,0.091,355,1605
49,0.645,0.278,0.106,345,469
50,0.703,0.325,0.455,120,1820
51,0.71,0.897,0.379,691,1240
52,0.699,0.2,0.03,210,1329
53,0.651,0.219,0.212,778,890
54,0.649,0.225,0.106,45,939
55,0.706,0.875,0.364,682,1190
56,0.648,0.206,0.167,511,1402
57,0.644,0.189,0.076,613,1244
58,0.645,0.031,0.061,459,1833
59,0.645,0.117,0.091,275,1179
60,0.645,0.208,0.076,624,1240
61,0.765,0.297,0.167,217,865
62,0.701,0.25,0.121,972,1238
63,0.65,0.111,0.106,425,941
64,0.648,0.136,0.212,742,1487
65,0.646,0.175,0.152,642,720
66,0.65,0.164,0.106,599,813
67,0.757,0.036,0.197,116,1600
68,0.71,0.15,0.091,7,92
69,0.684,0.222,0.121,957,1969
70,0.737,0.461,0.182,145,494
71,0.78,0.125,0.212,549,1552
72,0.75,0.317,0.242,703,1315
73,0.739,0.017,0.136,250,419
74,0.681,0.083,0.152,991,1569
75,0.742,0.328,0.273,783,1259
76,0.733,0.444,0.424,816,1496
77,0.656,0.906,0.076,678,1279
78,0.728,0.275,0.106,309,578
79,0.736,0.425,0.394,860,1590
80,0.724,0.219,0.152,983,1499
81,0.712,0.397,0.242,246,1092
82,0.738,0.978,0.394,310,413
83,0.736,0.039,0.212,191,1014
84,0.658,0.117,0.106,556,740
85,0.741,0.994,0.258,148,1143
86,0.73,0.922,0.394,180,1636
87,0.726,0.05,0.106,525,1083
88,0.723,0.175,0.152,514,791
89,0.712,0.85,0.167,227,444
90,0.652,0.283,0.091,246,369
91,0.723,0.036,0.242,830,1401
92,0.664,0.983,0.182,275,1334
93,0.797,0.481,0.182,788,1649
94,0.772,0.197,0.152,365,1477
95,0.741,0.086,0.152,822,1643
96,0.795,0.456,0.167,778,1851
97,0.727,0.2,0.076,190,440
98,0.664,0.164,0.045,546,1970
99,0.665,0.094,0.136,596,1221
100,0.777,0.125,0.121,571,589
101,0.696,0.233,0.182,87,1897
102,0.694,0.117,0.167,446,1198
103,0.742,0.283,0.227,53,720
104,0.667,0.472,0.076,611,1129
105,0.651,0.586,0.091,12,1191
106,0.795,0.089,0.061,850,1292
107,0.754,0.158,0.242,249,1293
108,0.742,0.967,0.212,255,1475
109,0.665,0.925,0.015,599,1181
110,0.825,0.292,0.167,367,688
111,0.73,0.9,0.182,512,902
112,0.713,0.922,0.091,403,1956
113,0.713,0.244,0.076,458,1664
114,0.666,0.283,0.106,439,507
115,0.828,0.308,0.227,864,1778
116,0.773,0.147,0.212,766,1461
117,0.739,0.161,0.091,391,922
118,0.67,0.211,0.061,180,460
119,0.735,0.047,0.197,151,1410
120,0.706,0.275,0.091,843,1799
121,0.796,0.0,0.167,980,1068
122,0.792,0.344,0.182,607,1931
123,0.73,0.331,0.288,805,1355
124,0.738,0.889,0.5,441,1630
125,0.675,0.311,0.167,951,1402
126,0.75,0.231,0.091,798,1451
127,0.704,0.003,0.152,283,1139
128,0.685,0.347,0.303,537,1191
129,0.677,0.103,0.076,0,172
130,0.759,0.989,0.182,104,1893
131,0.717,0.853,0.182,814,1853
132,0.775,0.136,0.197,226,1237
133,0.762,0.156,0.273,602,846
134,0.658,0.019,0.182,267,1573
135,0.808,0.331,0.106,332,1426
136,0.763,0.961,0.182,37,1708
137,0.748,0.033,0.106,29,1983
138,0.719,0.956,0.197,577,1485
139,0.645,0.219,0.136,661,1901
140,0.805,0.633,0.273,338,558
141,0.734,0.789,0.364,580,1347
142,0.735,0.311,0.121,517,1255
143,0.749,0.831,0.348,536,772
144,0.732,0.375,0.076,148,873
145,0.707,0.375,0.045,233,1761
146,0.768,0.244,0.242,197,399
147,0.814,0.611,0.167,794,1554
148,0.738,0.006,0.091,502,1061
149,0.657,0.094,0.076,440,1832
150,0.821,0.264,0.091,763,989
151,0.758,0.803,0.364,92,243
152,0.75,0.058,0.091,903,1972
153,0.696,0.056,0.167,377,585
154,0.806,0.586,0.258,217,729
155,0.808,0.556,0.303,722,1755
156,0.756,0.969,0.152,382,1464
157,0.724,0.05,0.045,832,1723
158,0.662,0.161,0.212,754,1145
159,0.648,0.117,0.197,721,797
160,0.785,0.481,0.167,918,1915
161,0.802,0.444,0.227,621,1065
162,0.756,0.292,0.197,319,1928
163,0.672,0.117,0.182,811,1370
164,0.826,0.911,0.242,80,1185
165,0.783,0.614,0.152,475,1179
166,0.799,0.714,0.061,651,1302
167,0.741,0.767,0.5,965,1539
168,0.78,0.544,0.227,312,1769
169,0.786,0.525,0.212,868,1602
170,0.745,0.361,0.242,199,1024
171,0.825,0.136,0.197,890,1373
172,0.777,0.283,0.182,643,1323
173,0.689,0.992,0.303,321,1671
174,0.823,0.042,0.106,433,633
175,0.765,0.022,0.106,91,782
176,0.68,0.264,0.182,687,1492
177,0.766,0.8,0.318,154,203
178,0.735,0.183,0.136,912,1137
179,0.825,0.125,0.045,656,1081
180,0.798,0.358,0.045,748,1387
181,0.714,0.889,0.061,482,1889
182,0.79,0.078,0.167,57,1980
183,0.747,0.239,0.182,876,1109
184,0.835,0.811,0.045,638,1344
185,0.825,0.319,0.152,487,1157
186,0.794,0.081,0.364,664,1127
187,0.733,0.922,0.227,141,429
188,0.653,0.297,0.076,7,1201
189,0.791,0.5,0.061,688,1939
190,0.805,0.989,0.182,160,401
191,0.776,0.481,0.227,916,1923
192,0.705,0.456,0.061,946,1137
193,0.825,0.322,0.106,178,303
194,0.706,0.367,0.167,675,1312
195,0.652,0.25,0.136,691,918
196,0.782,0.128,0.333,420,547
197,0.798,0.711,0.061,163,264
198,0.759,0.939,0.121,490,1666
199,0.709,0.353,0.182,752,1149
200,0.75,0.886,0.303,227,252
201,0.837,0.125,0.061,195,1215
202,0.664,0.247,0.152,466,592
203,0.82,0.119,0.227,268,536
204,0.773,0.522,0.212,970,1941
205,0.708,0.183,0.076,476,1582
206,0.822,0.139,0.167,224,1826
207,0.756,0.383,0.318,887,1859
208,0.749,0.175,0.258,152,1335
209,0.701,0.125,0.152,796,1341
210,0.829,0.064,0.273,929,1933
211,0.774,0.594,0.076,677,999
212,0.78,0.897,0.318,193,523
213,0.784,0.867,0.273,267,614
214,0.716,0.019,0.182,921,1680
215,0.841,0.156,0.242,124,799
216,0.766,0.025,0.152,898,1027
217,0.83,0.028,0.197,517,1457
218,0.77,0.1,0.379,229,940
219,0.774,0.464,0.197,277,1200
220,0.658,0.064,0.258,294,908
221,0.778,0.722,0.121,155,464
222,0.765,0.142,0.152,407,1901
223,0.768,0.586,0.197,746,1348
224,0.779,0.0,0.182,821,857
225,0.707,0.125,0.061,685,753
226,0.779,0.464,0.258,941,1801
227,0.748,0.061,0.121,785,1810
228,0.784,0.956,0.121,251,696
229,0.786,0.519,0.212,573,848
230,0.752,0.775,0.197,286,347
231,0.758,0.681,0.061,832,1344
232,0.763,0.556,0.242,994,1446
233,0.775,0.15,0.197,259,398
234,0.711,0.322,0.136,175,1823
235,0.675,0.989,0.273,909,1797
236,0.841,0.906,0.076,872,1853
237,0.839,0.075,0.212,394,911
