id,t,u,v,w,x,ts_in,ts_out
0,0.673,0.142,0.045,0.185,0.072,867,878
1,0.671,0.156,0.03,0.152,0.055,507,734
2,0.727,0.386,0.136,0.192,0.447,956,1498
3,0.722,0.431,0.273,0.173,0.434,518,1213
4,0.673,0.125,0.03,0.11,0.055,287,510
5,0.668,0.367,0.091,0.215,0.009,726,1268
6,0.675,0.125,0.106,0.193,0.089,343,983
7,0.675,0.136,0.061,0.168,0.081,699,1575
8,0.678,0.125,0.136,0.172,0.094,47,1125
9,0.677,0.164,0.152,0.177,0.089,564,991
10,0.677,0.558,0.061,0.129,0.103,217,1148
11,0.748,0.419,0.167,0.266,0.738,509,861
12,0.711,0.372,0.333,0.107,0.452,951,1733
13,0.676,0.594,0.106,0.107,0.108,863,1636
14,0.649,0.436,0.061,0.048,0.095,31,1993
15,0.647,0.142,0.106,0.03,0.106,18,424
16,0.677,0.719,0.015,0.086,0.085,542,551
17,0.652,0.2,0.106,0.061,0.084,376,1151
18,0.649,0.0,0.061,0.068,0.097,75,666
19,0.649,0.106,0.076,0.061,0.104,440,1806
20,0.648,0.197,0.136,0.043,0.108,897,1844
21,0.747,0.581,0.258,0.155,0.701,276,1428
22,0.717,0.317,0.348,0.137,0.469,745,1225
23,0.651,0.15,0.121,0.089,0.09,627,785
24,0.65,0.061,0.136,0.086,0.103,30,296
25,0.646,0.375,0.091,0.0,0.121,321,1608
26,0.645,0.453,0.152,0.021,0.119,643,1807
27,0.768,0.411,0.242,0.231,0.831,235,494
28,0.729,0.375,0.015,0.152,0.516,570,1750
29,0.71,0.325,0.364,0.091,0.461,734,1693
30,0.701,0.339,0.455,0.048,0.448,528,1832
31,0.654,0.292,0.106,0.086,0.084,773,1769
32,0.653,0.283,0.091,0.089,0.087,382,1208
33,0.652,0.064,0.091,0.107,0.092,889,1879
34,0.652,0.114,0.136,0.116,0.096,161,250
35,0.752,0.125,0.288,0.173,0.731,985,1380
36,0.702,0.347,0.424,0.048,0.453,937,1539
37,0.651,0.256,0.106,0.13,0.101,593,1510
38,0.713,0.272,0.455,0.089,0.466,6,136
39,0.696,0.983,0.182,0.0,0.445,663,1664
40,0.7,0.964,0.045,0.0,0.295,868,1309
41,0.666,0.961,0.03,0.0,0.047,367,1508
42,0.657,0.197,0.136,0.107,0.081,707,1465
43,0.701,0.917,0.409,0.021,0.441,316,1765
44,0.694,0.356,0.076,0.068,0.233,224,1791
45,0.656,0.189,0.121,0.15,0.094,179,1055
46,0.654,0.261,0.106,0.152,0.096,603,1540
47,0.657,0.275,0.091,0.168,0.093,986,1257
48,0.647,0.183,0.091,0.068,0.126,955,1163
49,0.645,0.278,0.106,0.061,0.114,673,1307
50,0.703,0.325,0.455,0.043,0.463,880,953
51,0.71,0.897,0.379,0.061,0.438,854,1730
52,0.699,0.2,0.03,0.021,0.46,45,1385
53,0.651,0.219,0.212,0.137,0.125,506,1446
54,0.649,0.225,0.106,0.125,0.128,258,1576
55,0.706,0.875,0.364,0.021,0.452,960,1013
56,0.648,0.206,0.167,0.136,0.131,56,942
57,0.644,0.189,0.076,0.129,0.122,438,765
58,0.645,0.031,0.061,0.125,0.118,447,1668
59,0.645,0.117,0.091,0.116,0.114,765,821
60,0.645,0.208,0.076,0.096,0.114,623,770
61,0.765,0.297,0.167,0.03,0.821,424,1677
62,0.701,0.25,0.121,0.096,0.284,915,1798
63,0.65,0.111,0.106,0.11,0.131,875,1403
64,0.648,0.136,0.212,0.107,0.122,439,1596
65,0.646,0.175,0.152,0.091,0.118,143,763
66,0.65,0.164,0.106,0.096,0.126,157,1795
67,0.757,0.036,0.197,0.064,0.748,426,556
68,0.71,0.15,0.091,0.156,0.321,623,1843
69,0.684,0.222,0.121,0.129,0.153,86,1421
70,0.737,0.461,0.182,0.173,0.623,580,1918
71,0.78,0.125,0.212,0.198,0.895,769,1948
72,0.75,0.317,0.242,0.077,0.712,928,982
73,0.739,0.017,0.136,0.0,0.683,901,937
74,0.681,0.083,0.152,0.172,0.135,64,1808
75,0.742,0.328,0.273,0.144,0.642,887,1804
76,0.733,0.444,0.424,0.096,0.555,935,966
77,0.656,0.906,0.076,0.021,0.149,567,854
78,0.728,0.275,0.106,0.273,0.437,471,1615
