id,t,u,v,w,x,y,z,time_in,time_out
0,0.673,0.142,0.045,0.185,0.072,0.87,0.913,121,360
1,0.671,0.156,0.03,0.152,0.055,0.866,0.925,659,1475
2,0.727,0.386,0.136,0.192,0.447,0.921,0.937,757,1515
3,0.722,0.431,0.273,0.173,0.434,0.937,0.937,885,1677
4,0.673,0.125,0.03,0.11,0.055,0.866,0.921,459,1477
5,0.668,0.367,0.091,0.215,0.009,0.906,0.933,36,1265
6,0.675,0.125,0.106,0.193,0.089,0.874,0.886,550,1775
7,0.675,0.136,0.061,0.168,0.081,0.874,0.906,306,1966
8,0.678,0.125,0.136,0.172,0.094,0.878,0.87,578,1291
9,0.677,0.164,0.152,0.177,0.089,0.898,0.862,442,1837
10,0.677,0.558,0.061,0.129,0.103,0.858,0.957,835,1538
11,0.748,0.419,0.167,0.266,0.738,0.921,0.945,678,899
12,0.711,0.372,0.333,0.107,0.452,0.976,0.882,77,750
13,0.676,0.594,0.106,0.107,0.108,0.839,0.972,467,920
14,0.649,0.436,0.061,0.048,0.095,0.882,0.945,425,429
15,0.647,0.142,0.106,0.03,0.106,0.882,0.886,742,1224
16,0.677,0.719,0.015,0.086,0.085,0.85,0.941,931,1849
17,0.652,0.2,0.106,0.061,0.084,0.898,0.894,327,1996
18,0.649,0.0,0.061,0.068,0.097,0.843,0.913,419,831
19,0.649,0.106,0.076,0.061,0.104,0.866,0.898,243,1476
20,0.648,0.197,0.136,0.043,0.108,0.906,0.878,613,1795
21,0.747,0.581,0.258,0.155,0.701,0.811,0.996,185,923
22,0.717,0.317,0.348,0.137,0.469,0.992,0.823,562,1978
23,0.651,0.15,0.121,0.089,0.09,0.886,0.874,898,1733
24,0.65,0.061,0.136,0.086,0.103,0.846,0.87,250,710
25,0.646,0.375,0.091,0.0,0.121,0.902,0.933,385,1866
26,0.645,0.453,0.152,0.021,0.119,0.906,0.957,811,1438
27,0.768,0.411,0.242,0.231,0.831,0.945,0.929,767,1889
28,0.729,0.375,0.015,0.152,0.516,0.866,0.937,864,1359
29,0.71,0.325,0.364,0.091,0.461,0.996,0.827,884,1777
30,0.701,0.339,0.455,0.048,0.448,1.0,0.791,831,1086
31,0.654,0.292,0.106,0.086,0.084,0.917,0.909,858,1789
32,0.653,0.283,0.091,0.089,0.087,0.906,0.917,743,999
33,0.652,0.064,0.091,0.107,0.092,0.85,0.894,301,400
34,0.652,0.114,0.136,0.116,0.096,0.87,0.866,640,750
35,0.752,0.125,0.288,0.173,0.731,0.87,0.768,677,1009
36,0.702,0.347,0.424,0.048,0.453,0.996,0.815,406,1666
37,0.651,0.256,0.106,0.13,0.101,0.909,0.902,767,1338
38,0.713,0.272,0.455,0.089,0.466,0.992,0.72,997,1374
39,0.696,0.983,0.182,0.0,0.445,0.787,0.862,616,927
40,0.7,0.964,0.045,0.0,0.295,0.839,0.921,430,1276
41,0.666,0.961,0.03,0.0,0.047,0.846,0.925,22,1801
42,0.657,0.197,0.136,0.107,0.081,0.906,0.878,996,1360
43,0.701,0.917,0.409,0.021,0.441,0.575,0.776,217,1378
44,0.694,0.356,0.076,0.068,0.233,0.902,0.929,354,1929
