id,x,y,ts_in,ts_out
0,0.626,0.957,697,1141
1,0.08,0.278,315,1314
2,0.57,0.67,772,1238
3,0.103,0.426,428,1019
4,0.741,0.658,43,317
5,0.118,0.136,753,1702
6,0.819,0.024,160,1074
7,0.1,0.925,934,1049
8,0.316,0.424,289,1496
9,0.023,0.962,427,517
10,0.401,0.079,267,1159
11,0.71,0.374,476,647
12,0.713,0.345,162,495
13,0.752,0.524,964,1371
14,0.074,0.39,6,1854
15,0.132,0.806,527,559
16,0.667,0.904,176,1970
17,0.519,0.366,345,455
18,0.781,0.795,277,1157
19,0.323,0.701,228,1495
20,0.743,0.202,28,1679
21,0.787,0.385,483,954
22,0.8,0.228,169,698
23,0.883,0.666,490,1641
24,0.306,0.286,54,272
25,0.268,0.631,75,1792
26,0.658,0.837,451,1893
27,0.184,0.159,880,1075
28,0.471,0.584,669,1709
29,0.403,0.69,170,1749
30,0.212,0.242,77,834
31,0.662,0.188,843,1787
32,0.242,0.38,725,1615
33,0.231,0.13,303,335
34,0.163,0.101,25,1011
35,0.998,0.331,993,1275
36,0.82,0.647,575,918
37,0.257,0.4,125,905
38,0.101,0.307,467,1441
39,0.792,0.832,886,1111
40,0.013,0.109,766,937
41,0.039,0.836,826,1311
42,0.131,0.725,826,1877
43,0.235,0.601,541,590
44,0.644,0.34,120,1965
45,0.448,0.532,58,74
46,0.099,0.069,904,1074
47,0.904,0.007,12,664
48,0.617,0.419,410,1175
49,0.544,0.738,624,1054
50,0.063,0.699,66,1171
51,0.706,0.766,520,965
52,0.648,0.174,424,1921
53,0.11,0.662,168,181
54,0.284,0.125,428,1396
55,0.399,0.722,103,1467
56,0.736,0.647,345,1960
57,0.942,0.942,966,1512
58,0.504,0.558,802,1931
59,0.164,0.687,418,804
60,0.69,0.331,521,1456
61,0.988,0.862,560,826
62,0.45,0.021,425,1490
63,0.123,0.657,711,1450
64,0.614,0.41,77,396
65,0.982,0.606,801,1151
66,0.188,0.344,162,1839
67,0.036,0.507,797,1294
68,0.305,0.742,834,1761
69,0.166,0.276,135,340
70,0.178,0.133,713,1390
71,0.905,0.12,258,1562
72,0.077,0.637,819,865
73,0.543,0.673,143,1980
74,0.881,0.547,185,1173
75,0.424,0.66,221,1923
76,0.408,0.701,111,422
77,0.109,0.495,462,1890
78,0.699,0.117,295,1042
79,0.558,0.834,156,949
80,0.05,0.849,827,924
81,0.755,0.406,521,950
82,0.136,0.763,466,1755
83,0.16,0.366,69,853
84,0.767,0.472,819,907
85,0.005,0.4,794,1544
86,0.358,0.815,517,1615
87,0.3,0.762,686,1692
88,0.757,0.447,51,490
89,0.35,0.193,934,1457
90,0.17,0.647,656,988
91,0.032,0.721,706,1392
92,0.855,0.575,650,1742
93,0.878,0.009,136,907
94,0.235,0.11,38,914
95,0.076,0.222,903,1991
96,0.851,0.167,137,498
97,0.983,0.95,702,1347
98,0.454,0.921,875,1752
99,0.09,0.798,451,1605
100,0.902,0.007,378,605
101,0.572,0.824,602,1681
102,0.117,0.516,585,726
103,0.561,0.426,610,887
104,0.59,0.875,839,1534
105,0.762,0.56,358,998
106,0.089,0.573,628,1380
107,0.654,0.454,828,1129
108,0.99,0.969,605,910
109,0.563,0.586,225,1785
110,0.484,0.163,651,1204
111,0.626,0.464,16,1568
112,0.843,0.371,846,1621
113,0.325,0.343,209,1096
114,0.643,0.547,934,1085
115,0.19,0.299,580,617
116,0.221,0.067,986,1498
117,0.247,0.558,186,544
118,0.463,0.762,172,1547
119,0.055,0.563,289,1246
120,0.111,0.451,326,1585
121,0.51,0.415,612,1518
122,0.959,0.086,422,1927
123,0.646,0.085,831,1006
124,0.336,0.971,210,1233
125,0.387,0.553,425,730
126,0.461,0.057,121,1605
127,0.462,0.896,907,1146
128,0.015,0.812,926,1341
129,0.337,0.988,840,1729
130,0.765,0.144,14,1905
131,0.508,0.004,9,215
132,0.92,0.463,650,1386
133,0.225,0.688,478,1718
134,0.086,0.024,101,259
135,0.994,0.103,764,1376
136,0.053,0.176,129,871
137,0.461,0.23,773,1741
138,0.284,0.879,59,1941
139,0.728,0.681,555,815
140,0.428,0.035,64,909
141,0.505,0.795,145,176
142,0.982,0.561,202,707
143,0.969,0.831,461,1871
144,0.637,0.683,826,1008
145,0.99,0.514,710,1487
146,0.416,0.125,898,1989
147,0.75,0.91,870,1550
148,0.589,0.585,248,1283
149,0.905,0.509,269,681
150,0.128,0.737,749,945
151,0.146,0.696,52,422
152,0.21,0.436,623,1679
153,0.921,0.627,788,1446
154,0.889,0.511,133,1038
155,0.189,0.876,655,1798
