id,x,y,z,ts_in,ts_out
0,0.293,0.91,0.077,801,987
1,0.421,0.358,0.868,396,692
2,0.469,0.653,0.368,297,355
3,0.489,0.683,0.887,867,1177
4,0.221,0.509,0.851,160,205
5,0.498,0.927,0.825,302,943
6,0.887,0.732,0.622,387,424
7,0.135,0.895,0.233,614,1794
8,0.743,0.174,0.073,981,1034
9,0.138,0.502,0.751,421,1512
10,0.394,0.813,0.977,578,766
11,0.537,0.77,0.574,887,941
12,0.013,0.304,0.432,541,1902
13,0.136,0.583,0.112,483,1844
14,0.815,0.941,0.009,101,709
15,0.782,0.637,0.712,405,792
16,0.444,0.745,0.759,152,676
17,0.448,0.897,0.991,313,356
18,0.345,0.858,0.872,865,1892
19,0.256,0.832,0.081,736,1001
20,0.416,0.02,0.359,200,1034
21,0.321,0.604,0.145,898,1247
22,0.612,0.841,0.374,685,1491
23,0.544,0.763,0.498,662,1055
24,0.291,0.754,0.616,91,426
25,0.256,0.779,0.179,207,421
26,0.452,0.447,0.328,837,1756
27,0.194,0.492,0.655,331,1249
28,0.364,0.56,0.462,27,1506
29,0.044,0.425,0.422,213,254
30,0.026,0.789,0.346,224,647
31,0.077,0.848,0.023,142,501
32,0.409,0.383,0.774,15,360
33,0.514,0.247,0.356,691,1587
34,0.516,0.499,0.412,204,1812
35,0.314,0.611,0.873,349,678
36,0.274,0.357,0.556,982,1184
37,0.622,0.975,0.707,287,656
38,0.512,0.586,0.149,722,1295
39,0.934,0.807,0.77,689,1553
40,0.609,0.765,0.054,946,1037
41,0.998,0.565,0.043,952,1288
42,0.966,0.595,0.366,657,1374
43,0.205,0.14,0.801,901,1098
44,0.59,0.103,0.521,247,748
45,0.795,0.637,0.884,518,713
46,0.412,0.973,0.628,247,383
47,0.532,0.834,0.031,1,440
48,0.439,0.161,0.224,509,1025
49,0.649,0.893,0.331,158,573
50,0.088,0.219,0.58,364,903
51,0.285,0.345,0.194,212,1870
52,0.404,0.277,0.454,397,1233
53,0.171,0.483,0.059,613,1635
54,0.225,0.477,0.884,308,862
55,0.221,0.339,0.458,279,1980
56,0.016,0.181,0.1,937,1295
57,0.256,0.381,0.514,164,880
58,0.723,0.372,0.555,240,689
59,0.997,0.491,0.837,657,1755
60,0.952,0.242,0.197,637,1449
61,0.353,0.589,0.958,510,1880
62,0.679,0.929,0.429,506,1055
63,0.161,0.121,0.32,86,1370
64,0.461,0.955,0.467,304,422
65,0.286,0.671,0.468,289,578
66,0.997,0.647,0.583,183,826
67,0.181,0.742,0.64,942,1630
68,0.755,0.609,0.79,823,908
69,0.21,0.467,0.643,342,1553
70,0.823,0.574,0.748,740,1199
71,0.307,1.0,0.985,91,1118
72,0.318,0.264,0.021,112,1617
73,0.941,0.065,0.341,680,1694
74,0.68,0.813,0.687,809,1042
75,0.565,0.328,0.526,187,806
76,0.855,0.019,0.177,664,1010
77,0.184,0.316,0.736,132,1021
78,0.27,0.701,0.786,225,876
79,0.662,0.869,0.742,1000,1087
80,0.591,0.215,0.791,520,1466
81,0.851,0.334,0.652,413,1078
82,0.786,0.264,0.348,483,1190
83,0.393,0.052,0.41,974,1464
84,0.989,0.472,0.561,961,1858
85,0.245,0.006,0.774,487,1772
86,0.733,0.289,0.709,318,1971
87,0.692,0.154,0.264,882,1698
88,0.155,0.617,0.35,696,1446
89,0.297,0.589,0.072,644,1729
90,0.893,0.292,0.857,300,1304
91,0.231,0.226,0.443,384,1154
92,0.993,0.617,0.097,260,1877
93,0.351,0.613,0.62,516,1142
94,0.592,0.748,0.328,110,1265
95,0.738,0.534,0.511,710,1327
96,0.397,0.972,0.488,45,1041
97,0.529,0.074,0.131,771,1056
98,0.647,0.659,0.218,211,1644
99,0.153,0.656,0.011,796,1222
100,0.889,0.224,0.727,420,1994
101,0.238,0.388,0.482,695,1818
102,0.304,0.156,0.703,803,1855
103,0.407,0.565,0.955,180,666
104,0.15,0.472,0.432,657,1338
105,0.125,0.357,0.773,313,1073
106,0.36,0.232,0.325,302,1541
107,0.548,0.903,0.154,486,1618
108,0.832,0.654,0.46,509,1319
109,0.059,0.5,0.405,76,1170
110,0.942,0.535,0.574,727,737
111,0.503,0.534,0.099,600,719
112,0.569,0.8,0.686,30,1158
113,0.254,0.236,0.983,285,705
114,0.415,0.379,0.085,536,1499
115,0.409,0.013,0.696,903,1017
116,0.501,0.01,0.093,269,531
117,0.59,0.13,0.226,181,926
118,0.098,0.742,0.114,789,1913
119,0.937,0.169,0.303,303,545
120,0.881,0.864,0.556,218,948
121,0.782,0.547,0.881,531,1080
122,0.887,0.838,0.693,822,1584
123,0.759,0.299,0.481,499,1300
124,0.4,0.94,0.793,932,1262
125,0.357,0.006,0.763,558,586
126,0.655,0.811,0.564,68,856
127,0.2,0.332,0.502,710,853
128,0.125,0.548,0.607,144,1109
129,0.393,0.49,0.938,379,868
130,0.43,0.333,0.348,647,1540
131,0.487,0.303,0.731,239,1709
132,0.615,0.554,0.694,45,1073
133,0.004,0.482,0.563,420,1679
134,0.227,0.003,0.203,832,1925
135,0.124,0.122,0.143,288,750
136,0.809,0.117,0.335,408,1402
137,0.465,0.294,0.405,440,1727
138,0.182,0.962,0.144,305,343
139,0.103,0.053,0.384,389,1313
140,0.112,0.631,0.065,655,788
141,0.299,0.431,0.688,415,806
142,0.288,0.923,0.403,716,1116
143,0.674,0.867,0.73,496,1644
144,0.231,0.61,0.414,109,1192
145,0.612,0.374,0.794,758,1656
146,0.722,0.491,0.517,652,815
147,0.867,0.115,0.095,147,171
148,0.914,0.387,1.0,696,1956
149,0.085,0.715,0.475,661,1444
150,0.041,0.436,0.223,842,1297
151,0.616,0.762,0.498,338,1984
152,0.073,0.846,0.173,161,554
153,0.427,0.979,0.781,15,1972
154,0.789,0.705,0.285,976,1660
155,0.929,0.994,0.715,204,512
156,0.633,0.723,0.675,273,464
157,0.227,0.907,0.444,232,1568
158,0.218,0.808,0.634,381,705
159,0.004,0.57,0.643,154,236
160,0.055,0.558,0.684,15,1605
161,0.161,0.383,0.103,829,1961
162,0.635,0.412,0.977,157,829
163,0.624,0.281,0.707,313,1956
164,0.58,0.204,0.12,122,481
165,0.515,0.824,0.59,132,1167
166,0.475,0.045,0.075,196,1036
167,0.786,0.505,0.11,790,1617
168,0.92,0.495,0.77,861,1660
169,0.572,0.118,0.314,2,857
170,0.639,0.233,0.163,90,376
171,0.344,0.675,0.981,868,1524
172,0.937,0.391,0.137,731,911
173,0.713,0.43,0.153,344,1226
174,0.962,0.074,0.139,194,1957
175,0.041,0.238,0.937,71,472
176,0.364,0.377,0.558,437,861
177,0.435,0.896,0.074,315,614
178,0.545,0.455,0.668,538,1651
179,0.186,0.898,0.755,795,1395
180,0.605,0.576,0.871,100,1256
181,0.034,0.161,0.136,242,840
182,0.137,0.825,0.55,718,1017
183,0.144,0.616,0.734,989,1687
184,0.602,0.393,0.11,702,1767
185,0.258,0.336,0.518,852,1272
186,0.569,0.341,0.011,660,1564
187,0.34,0.989,0.073,448,766
188,0.13,0.431,0.271,449,1172
189,0.132,0.822,0.208,273,604
190,0.43,0.016,0.918,634,1557
191,0.695,0.567,0.354,342,564
192,0.193,0.956,0.957,244,1730
193,0.487,0.985,0.058,765,1535
194,0.271,0.631,0.443,625,1646
195,0.268,0.323,0.389,262,295
196,0.861,0.704,0.266,128,1063
197,0.719,0.861,0.84,102,411
198,0.751,0.288,0.923,440,451
199,0.108,0.575,0.777,782,1543
200,0.215,0.192,0.737,170,1850
201,0.39,0.435,0.695,176,424
202,0.282,0.956,0.926,944,1111
203,0.236,0.557,0.138,551,853
204,0.161,0.646,0.325,581,1823
205,0.383,0.894,0.665,172,186
206,0.633,0.156,0.265,167,728
207,0.897,0.996,0.981,166,239
208,0.047,0.297,0.372,912,1634
209,0.859,0.635,0.583,69,1315
210,0.998,0.108,0.819,302,1117
211,0.327,0.58,0.241,479,1866
212,0.006,0.63,0.927,401,502
213,0.188,0.533,0.493,482,734
214,0.794,0.499,0.481,563,1862
215,0.529,0.023,0.761,939,1942
216,0.271,0.627,0.69,731,1051
217,0.729,0.411,0.572,26,1561
218,0.694,0.841,0.28,505,1900
219,0.011,0.967,0.088,624,1948
220,0.696,0.924,0.916,422,969
221,0.639,0.243,0.22,118,715
222,0.685,0.533,0.931,772,1987
223,0.927,0.925,0.065,91,977
224,0.033,0.38,0.005,896,1383
225,0.465,0.528,0.29,653,1251
226,0.95,0.652,0.774,162,1778
227,0.545,0.026,0.457,108,600
228,0.784,0.167,0.983,600,1010
229,0.903,0.948,0.21,614,1439
230,0.99,0.881,0.756,750,1669
231,0.854,0.395,0.629,814,1161
232,0.394,0.422,0.154,280,517
233,0.176,0.581,0.291,31,708
234,0.016,0.72,0.935,62,1929
235,0.328,0.719,0.624,468,600
236,0.844,0.436,0.019,849,1176
237,0.732,0.635,0.431,661,669
238,0.901,0.577,0.485,349,408
239,0.953,0.49,0.597,334,1185
240,0.367,0.575,0.186,334,340
241,0.087,0.58,0.744,320,1802
242,0.968,0.177,0.546,137,1621
243,0.96,0.406,0.519,843,982
244,0.736,0.232,0.603,948,1921
245,0.183,0.984,0.935,847,1266
246,0.539,0.407,0.191,997,1796
247,0.635,0.196,0.292,559,906
248,0.027,0.069,0.465,44,736
249,0.378,0.174,0.319,185,1855
250,0.673,0.036,0.229,549,1390
251,0.183,0.216,0.487,671,1829
252,0.131,0.394,0.069,630,826
253,0.574,0.393,0.774,272,1276
254,0.225,0.675,0.683,187,1320
255,0.068,0.118,0.404,298,1309
256,0.246,0.578,0.114,486,1832
257,0.541,0.545,0.736,550,884
258,0.527,0.746,0.114,280,821
259,0.281,0.654,0.441,755,912
260,0.778,0.113,0.353,636,1264
261,0.89,0.638,0.801,320,1563
262,0.988,0.166,0.739,241,1400
263,0.814,0.036,0.373,466,1757
264,0.165,0.196,0.544,553,1263
265,0.912,0.353,0.612,375,490
266,0.265,0.611,0.505,188,1408
267,0.186,0.863,0.263,379,1173
268,0.977,0.292,0.249,819,1030
269,0.619,0.36,0.107,955,1900
270,0.64,0.48,0.032,118,1719
271,0.274,0.338,0.003,741,1400
272,0.416,0.501,0.453,281,1223
273,0.97,0.232,0.109,518,1670
274,0.562,0.461,0.075,677,1416
275,0.986,0.357,0.72,659,1392
276,0.856,0.396,0.141,385,1973
277,0.887,0.164,0.197,40,1286
278,0.189,0.371,0.871,176,1413
279,0.421,0.474,0.383,851,1229
280,0.535,0.963,0.138,377,422
281,0.802,0.689,0.442,561,1488
282,0.562,0.1,0.667,115,157
283,0.328,0.113,0.077,161,343
284,0.911,0.575,0.935,831,1797
285,0.075,0.63,0.132,258,1541
286,0.742,0.829,0.803,428,1771
287,0.602,0.538,0.769,259,523
288,0.576,0.224,0.733,849,1613
289,0.336,0.515,0.11,960,1556
290,0.665,0.656,0.001,963,1174
291,0.477,0.799,0.229,289,307
292,0.96,0.541,0.301,793,1980
293,0.896,0.278,0.222,592,874
294,0.347,0.644,0.799,852,1798
295,0.439,0.406,0.979,792,1179
296,0.226,0.019,0.727,139,1598
297,0.488,0.726,0.141,409,877
298,0.732,0.865,0.062,281,1979
299,0.555,0.82,0.584,647,914
300,0.435,0.881,0.94,383,1901
301,0.978,0.53,0.752,160,1724
302,0.343,0.595,0.176,811,1913
303,0.278,0.356,0.737,494,1624
304,0.511,0.104,0.57,146,915
305,0.576,0.054,0.699,443,636
306,0.308,0.662,0.281,803,855
307,0.934,0.822,0.671,704,1299
308,0.053,0.078,0.704,800,981
309,0.706,0.459,0.456,823,1761
310,0.814,0.437,0.507,289,1317
311,0.667,0.06,0.651,882,1492
312,0.184,0.289,0.714,151,663
313,0.966,0.793,0.588,712,1153
314,0.158,0.706,0.19,373,1747
315,0.186,0.085,0.038,4,1542
316,0.677,0.046,0.131,803,1505
317,0.07,0.14,0.882,557,1836
318,0.191,0.094,0.806,715,1558
319,0.321,0.079,0.218,923,1378
320,0.709,0.926,0.365,255,593
321,0.924,0.984,0.287,403,799
322,0.482,0.7,0.845,990,1692
323,0.394,0.183,0.953,18,1159
324,0.727,0.471,0.696,123,1019
325,0.295,0.701,0.183,255,1832
326,0.166,0.354,0.396,548,1727
327,0.337,0.26,0.728,307,1975
328,0.975,0.502,0.648,409,1382
329,0.769,0.214,0.524,472,507
330,0.443,0.82,0.748,444,1909
331,0.027,0.911,0.223,519,1234
332,0.559,0.208,0.724,743,1168
333,0.765,0.113,0.81,91,716
334,0.685,0.981,0.43,488,935
335,0.375,0.395,0.076,504,1027
336,0.426,0.489,0.839,306,1063
337,0.913,0.495,0.628,984,1942
338,0.489,0.561,0.729,827,1470
339,0.468,0.131,0.044,18,1884
340,0.532,0.578,0.99,781,969
341,0.281,0.4,0.86,598,717
342,0.419,0.812,0.197,310,1837
343,0.81,0.847,0.407,108,1574
344,0.581,0.396,0.536,544,700
345,0.822,0.847,0.108,159,398
346,0.165,0.149,0.082,840,1585
347,0.89,0.545,0.641,610,1310
348,0.773,0.64,0.617,161,1691
349,0.147,0.776,0.437,513,1933
350,0.72,0.947,0.453,391,888
351,0.741,0.271,0.857,786,1358
352,0.763,0.749,0.745,607,892
353,0.033,0.335,0.169,10,386
354,0.823,0.101,0.995,771,1565
355,0.444,0.777,0.058,583,1582
356,0.532,0.037,0.754,357,1404
357,0.764,0.206,0.451,354,1087
358,0.984,0.089,0.01,222,497
359,0.98,0.996,0.148,532,1241
360,0.491,0.665,0.306,184,1345
361,0.825,0.866,0.543,805,1183
362,0.923,0.603,0.594,542,969
363,0.258,0.244,0.312,416,1764
364,0.728,0.953,0.88,992,1637
365,0.77,0.182,0.331,300,920
366,0.875,0.721,0.364,888,996
367,0.571,0.005,0.931,185,1819
368,0.443,0.524,0.293,232,1738
369,0.568,0.359,0.046,267,1187
370,0.584,0.888,0.097,234,511
371,0.726,0.996,0.124,169,915
372,0.814,0.426,0.587,190,1658
373,0.31,0.722,0.999,830,883
374,0.891,0.536,0.668,975,1625
375,0.577,0.242,0.78,439,1331
376,0.17,0.641,0.712,158,1775
377,0.251,0.538,0.687,921,1237
378,0.365,0.185,0.252,11,795
379,0.587,0.468,0.803,240,1761
380,0.698,0.185,0.735,875,1682
381,0.256,0.369,0.504,400,705
382,0.469,0.354,0.659,13,53
383,0.088,0.1,0.936,561,1342
384,0.492,0.14,0.608,23,308
385,0.539,0.64,0.906,288,1666
386,0.232,0.504,0.6,345,1275
387,0.2,0.04,0.148,821,1927
388,0.35,0.176,0.647,299,1853
389,0.376,0.971,0.973,461,1843
390,0.812,0.724,0.953,358,1921
391,0.995,0.331,0.697,693,1922
392,0.692,0.08,0.558,704,1714
393,0.216,0.854,0.766,695,1267
394,0.733,0.569,0.274,406,456
395,0.652,0.318,0.834,261,888
396,0.962,0.348,0.562,624,1717
397,0.744,0.577,0.888,950,1025
398,0.1,0.761,0.098,840,1630
399,0.091,0.468,0.504,262,325
400,0.191,0.554,0.867,498,614
401,0.84,0.358,0.932,182,1844
402,0.348,0.493,0.446,533,1923
403,0.223,0.671,0.591,642,1244
404,0.686,0.17,0.841,462,1199
405,0.918,0.333,0.123,362,471
406,0.097,0.621,0.923,530,1318
407,0.574,0.93,0.445,98,560
408,0.553,0.425,0.216,311,1091
409,0.852,0.189,0.773,756,1451
410,0.176,0.332,0.82,224,580
411,0.482,0.661,0.062,64,506
412,0.194,0.661,0.544,773,1918
413,0.104,0.225,0.61,677,1758
414,0.8,0.977,0.054,941,1506
415,0.815,0.544,0.787,393,1384
416,0.476,0.961,0.487,673,1614
417,0.057,0.785,0.529,71,368
418,0.093,0.276,0.072,819,1454
419,0.704,0.565,0.63,437,1354
420,0.362,0.895,0.875,887,1579
421,0.804,0.855,0.374,290,1090
422,0.518,0.829,0.138,260,1914
423,0.233,0.641,0.249,585,1937
424,0.922,0.146,0.238,330,1655
425,0.153,0.091,0.415,138,1278
426,0.432,0.488,0.158,873,1573
427,0.993,0.173,0.025,758,764
428,0.159,0.71,0.039,24,1737
429,0.493,0.344,0.049,411,1725
430,0.942,0.566,0.29,293,1484
431,0.81,0.975,0.943,599,1191
432,0.276,0.756,0.343,185,1335
433,0.977,0.512,0.214,157,1280
434,0.959,0.857,0.9,827,1080
435,0.367,0.135,0.585,620,737
436,0.357,0.807,0.466,823,1210
437,0.831,0.259,0.429,64,146
438,0.535,0.641,0.049,199,1562
439,0.093,0.815,0.087,614,1439
440,0.347,0.282,0.06,467,1181
441,0.007,0.717,0.23,290,473
442,0.753,0.962,0.376,331,1846
443,0.891,0.624,0.825,953,1943
444,0.855,0.962,0.653,668,1665
445,0.482,0.174,0.945,930,1301
446,0.553,0.345,0.873,506,537
447,0.557,0.811,0.452,868,1539
448,0.375,0.347,0.043,81,501
449,0.475,0.771,0.869,612,1388
450,0.657,0.678,0.872,774,1588
451,0.171,0.294,0.221,468,739
452,0.297,0.485,0.567,951,966
453,0.496,0.133,0.097,809,1675
454,0.738,0.557,0.701,641,1796
455,0.926,0.774,0.128,393,770
456,0.029,0.444,0.013,865,1047
457,0.962,0.842,0.575,196,842
458,0.472,0.175,0.014,217,1388
459,0.631,0.934,0.752,1,1044
460,0.967,0.201,0.92,411,974
461,0.885,0.78,0.338,483,913
462,0.963,0.085,0.207,106,416
463,0.763,0.602,0.011,182,331
464,0.725,0.709,0.838,148,594
