id,v,w,x,y,z,ts_in,ts_out
0,0.285,0.323,0.235,0.765,0.459,19,1004
1,0.818,0.76,0.825,0.939,0.203,517,662
2,0.689,0.933,0.372,0.104,0.27,987,1497
3,0.397,0.403,0.376,0.835,0.057,424,1927
4,0.042,0.236,0.224,0.396,0.796,829,1814
5,0.987,0.607,0.839,0.448,0.293,853,918
6,0.899,0.325,0.251,0.795,0.613,594,1248
7,0.641,0.537,0.316,0.369,0.738,174,1921
8,0.297,0.24,0.388,0.509,0.339,194,1158
9,0.737,0.629,0.439,0.84,0.902,587,1060
10,0.795,0.699,0.215,0.567,0.64,137,157
11,0.5,0.749,0.297,0.923,0.468,875,1411
12,0.601,0.79,0.026,0.029,0.565,775,883
13,0.869,0.964,0.889,0.82,0.453,219,517
14,0.229,0.748,0.474,0.706,0.824,637,1330
15,0.396,0.527,0.015,0.652,0.824,967,1833
16,0.565,0.879,0.973,0.175,0.36,350,1019
17,0.073,0.113,0.224,0.236,0.541,996,1030
18,0.516,0.403,0.247,0.618,0.082,493,1902
19,0.605,0.296,0.354,0.353,0.785,37,1085
20,0.18,0.97,0.362,0.758,0.002,566,1657
21,0.642,0.936,0.375,0.905,0.411,148,1660
22,0.733,0.077,0.072,0.362,0.066,461,765
23,0.23,0.067,0.492,0.296,0.264,247,1304
24,0.265,0.523,0.05,0.983,0.661,445,1398
25,0.382,0.864,0.098,0.24,0.433,915,1984
26,0.413,0.644,0.527,0.317,0.299,183,855
27,0.266,0.31,0.209,0.911,0.882,91,1972
28,0.553,0.81,0.714,0.104,0.489,267,1319
29,0.665,0.865,0.678,0.326,0.549,748,1036
30,0.246,0.231,0.707,0.107,0.693,875,1275
31,0.666,0.584,0.53,0.286,0.802,932,1042
32,0.138,0.714,0.081,0.799,0.159,679,1958
33,0.712,0.679,0.562,0.501,0.623,718,1339
34,0.517,0.51,0.519,0.069,0.849,691,1136
35,0.576,0.659,0.404,0.225,0.49,493,1557
36,0.563,0.018,0.83,0.693,0.969,834,1837
37,0.936,0.068,0.12,0.865,0.736,831,1488
38,0.801,0.326,0.502,0.791,0.896,450,1740
39,0.498,0.23,0.528,0.093,0.707,524,1731
40,0.392,0.818,0.147,0.941,0.208,885,1408
41,0.287,0.288,0.416,0.822,0.548,698,1721
42,0.038,0.245,0.186,0.088,0.12,840,1272
43,0.975,0.403,0.161,0.627,0.56,313,1803
44,0.821,0.234,0.161,0.433,0.258,906,1851
45,0.219,0.425,0.216,0.948,0.157,922,1154
46,0.678,0.648,0.751,0.598,0.94,771,1904
47,0.506,0.667,0.559,0.961,0.787,476,1300
48,0.274,0.929,0.808,0.114,0.549,953,1118
