id,t,u,v,w,x,y,z,ts_in,ts_out
0,0.061,0.822,0.117,0.366,0.054,0.837,0.396,48,1409
1,0.702,0.393,0.224,0.01,0.594,0.349,0.807,462,1460
2,0.861,0.667,0.079,0.763,0.701,0.915,0.427,421,1293
3,0.621,0.437,0.449,0.478,0.024,0.28,0.818,122,599
4,0.39,0.755,0.75,0.993,0.046,0.62,0.035,469,1072
5,0.057,0.8,0.568,0.901,0.662,0.874,0.213,910,1257
6,0.216,0.992,0.057,0.016,0.916,0.33,0.191,847,1275
7,0.86,0.863,0.576,0.328,0.455,0.513,0.739,267,772
8,0.127,0.238,0.433,0.454,0.943,0.678,0.85,745,1840
9,0.276,0.868,0.66,0.867,0.315,0.245,0.629,18,1612
10,0.126,0.668,0.407,0.764,0.846,0.451,0.597,147,926
11,0.342,0.419,0.309,0.803,0.493,0.67,0.199,203,1249
12,0.886,0.048,0.202,0.87,0.771,0.304,0.968,381,886
13,0.874,0.431,0.527,0.581,0.573,0.535,0.836,581,982
14,0.722,0.852,0.002,0.095,0.511,0.211,0.405,231,1751
15,0.142,0.802,0.57,0.807,0.256,0.9,0.329,22,1783
16,0.61,0.956,0.422,0.092,0.464,0.126,0.984,934,1835
17,0.787,0.172,0.994,0.622,0.991,0.826,0.567,574,1799
18,0.215,0.713,0.158,0.412,0.333,0.944,0.32,673,1479
19,0.818,0.353,0.515,0.935,0.733,0.899,0.149,973,1070
20,0.819,0.349,0.91,0.022,0.175,0.398,0.528,155,1260
21,0.797,0.247,0.193,0.152,0.297,0.824,0.151,359,1015
22,0.884,0.224,0.69,0.1,0.528,0.503,0.255,521,1556
23,0.908,0.662,0.324,0.501,0.538,0.855,0.441,543,1028
24,0.848,0.297,0.3,0.51,0.193,0.505,0.334,976,1733
25,0.093,0.241,0.727,0.63,0.229,0.782,0.328,760,1800
26,0.402,0.318,0.794,0.3,0.792,0.668,0.645,323,856
27,0.535,0.605,0.623,0.122,0.591,0.133,0.274,895,1204
28,0.539,0.579,0.458,0.31,0.107,0.811,0.697,461,834
29,0.985,0.188,0.221,0.879,0.772,0.356,0.336,703,866
30,0.805,0.479,0.344,0.563,0.102,0.414,0.101,820,1232
31,0.427,0.849,0.788,0.739,0.157,0.802,0.563,601,1230
32,0.249,0.695,0.01,0.744,0.894,0.488,0.722,273,1281
33,0.363,0.54,0.823,0.82,0.264,0.377,0.356,190,1448
34,0.094,0.84,0.295,0.412,0.382,0.909,0.411,565,779
35,0.564,0.948,0.469,0.735,0.923,0.003,0.232,992,1580
36,0.069,0.875,0.419,0.265,0.423,0.14,0.336,237,1507
37,0.428,0.488,0.316,0.23,0.319,0.109,0.004,805,1519
38,0.39,0.549,0.123,0.468,0.477,0.827,0.589,378,1913
39,0.866,0.325,0.943,0.134,0.411,0.261,0.652,531,1244
40,0.189,0.784,0.952,0.395,0.527,0.271,0.617,174,526
41,0.465,0.44,0.622,0.945,0.278,0.332,0.325,339,1114
42,0.373,0.13,0.953,0.268,0.686,0.437,0.239,933,1053
43,0.05,0.312,0.33,0.308,0.63,0.174,0.619,584,667
44,0.717,0.579,0.969,0.978,0.11,0.009,0.811,549,860
45,0.466,0.133,0.84,0.596,0.358,0.763,0.309,940,1264
46,0.298,0.178,0.089,0.537,0.365,0.086,0.551,579,1413
47,0.817,0.474,0.87,0.793,0.965,0.743,0.776,213,1824
48,0.894,0.734,0.979,0.057,0.812,0.591,0.406,722,1259
49,0.561,0.57,0.239,0.427,0.138,0.984,0.631,123,1168
50,0.787,0.544,0.397,0.479,0.795,0.794,0.639,335,1282
51,0.934,0.285,0.476,0.051,0.39,0.775,0.964,170,580
52,0.277,0.906,0.193,0.369,0.775,0.59,0.788,459,701
53,0.884,0.463,0.73,0.733,0.323,0.919,0.511,173,1547
54,0.812,0.182,0.331,0.195,0.881,0.599,0.849,267,1841
55,0.746,0.077,0.487,0.138,0.228,0.098,0.623,413,1137
56,0.228,0.335,0.06,0.259,0.008,0.296,0.22,158,1512
57,0.473,0.303,0.905,0.348,0.595,0.759,0.705,766,1216
58,0.067,0.281,0.603,0.016,0.458,0.469,0.835,436,1784
59,0.461,0.091,0.2,0.881,0.884,0.614,0.856,933,1552
60,0.582,0.87,0.236,0.959,0.446,0.415,0.783,32,736
61,0.409,0.553,0.214,0.71,0.038,0.567,0.975,811,1290
62,0.946,0.391,0.144,0.544,0.041,0.002,0.542,923,1444
63,0.257,0.294,0.456,0.017,0.117,0.064,0.412,669,1806
64,0.2,0.326,0.727,0.625,0.156,0.969,0.537,287,1950
65,0.526,0.788,0.17,0.086,0.319,0.361,0.355,755,857
66,0.119,0.444,0.17,0.026,0.27,0.004,0.509,537,1589
67,0.919,0.319,0.649,0.996,0.189,0.755,0.779,6,793
68,0.854,0.536,0.708,0.536,0.077,0.799,0.031,770,1642
69,0.151,0.492,0.51,0.45,0.659,0.455,0.345,150,1246
70,0.342,0.04,0.548,0.635,0.872,0.039,0.227,183,1766
71,0.988,0.99,0.48,0.434,0.051,0.893,0.819,387,920
72,0.222,0.12,0.206,0.761,0.666,0.508,0.714,199,1305
73,0.038,0.608,0.322,0.178,0.247,0.828,0.221,6,1176
74,0.977,0.547,0.112,0.587,0.701,0.163,0.611,225,833
75,0.354,0.232,0.113,0.231,0.833,0.604,0.817,615,1699
76,0.773,0.648,0.721,0.489,0.421,0.652,0.428,772,962
77,0.656,0.79,0.938,0.934,0.767,0.257,0.062,22,1387
78,0.059,0.553,0.743,0.738,0.957,0.205,0.01,788,1639
79,0.649,0.726,0.284,0.6,0.66,0.836,0.93,278,1517
80,0.016,0.625,0.223,0.504,0.071,0.467,0.069,513,1943
81,0.09,0.869,0.867,0.053,0.018,0.125,0.333,499,1728
82,0.733,0.196,0.983,0.861,0.076,0.335,0.666,46,1740
83,0.6,0.182,0.773,0.833,0.535,0.386,0.396,297,1014
84,0.988,0.32,0.734,0.555,0.945,0.105,0.589,821,1176
85,0.158,0.25,0.417,0.151,0.585,0.119,0.359,352,1151
86,0.285,0.382,0.471,0.202,0.856,0.845,0.482,578,971
87,0.411,0.983,0.392,0.514,0.731,0.69,0.487,400,1226
88,0.008,0.064,0.802,0.212,0.822,0.344,0.498,874,1237
89,0.929,0.668,0.52,0.004,0.978,0.838,0.351,114,615
90,0.409,0.297,0.633,0.497,0.523,0.959,0.008,736,1155
91,0.942,0.327,0.509,0.445,0.276,0.876,0.306,220,942
92,0.268,0.178,0.73,0.485,0.4,0.357,0.049,660,1232
93,0.513,0.04,0.152,0.078,0.209,0.34,0.527,559,929
94,0.595,0.984,0.246,0.359,0.831,0.17,0.915,295,318
95,0.215,0.602,0.572,0.043,0.832,0.031,0.134,278,1904
96,0.413,0.13,0.546,0.582,0.436,0.926,0.021,449,771
97,0.277,0.17,0.64,0.367,0.061,0.517,0.439,689,1516
98,0.894,0.955,0.155,0.943,0.137,0.018,0.935,858,1717
99,0.355,0.565,0.884,0.427,0.203,0.463,0.137,858,1826
100,0.281,0.939,0.143,0.633,0.704,0.193,0.852,156,1652
101,0.341,0.46,0.688,0.468,0.163,0.811,0.492,350,538
102,0.212,0.06,0.941,0.576,0.166,0.293,0.251,365,628
103,0.646,0.538,0.06,0.719,0.373,0.569,0.006,175,326
104,0.853,0.59,0.963,0.66,0.264,0.312,0.383,170,1285
105,0.647,0.598,0.457,0.398,0.848,0.285,0.803,776,828
106,0.173,0.614,0.559,0.794,0.811,0.789,0.359,107,1015
107,0.947,0.678,0.107,0.396,0.063,0.424,0.031,858,1764
108,0.636,0.273,0.318,0.425,0.988,0.39,0.983,51,746
109,0.767,0.055,0.45,0.354,0.526,0.981,0.438,155,1927
110,0.512,0.431,0.833,0.861,0.697,0.481,0.572,192,331
111,0.755,0.265,0.734,0.907,0.58,0.332,0.004,821,1088
112,0.244,0.338,0.303,0.325,0.101,0.893,0.545,479,1418
113,0.161,0.386,0.334,0.817,0.258,0.6,0.842,465,1392
114,0.535,0.585,0.108,0.925,0.266,0.781,0.119,795,1787
115,0.442,0.085,0.857,0.9,0.816,0.796,0.149,677,1618
116,0.044,0.667,0.254,0.267,0.349,0.844,0.376,576,1520
117,0.177,0.013,0.743,0.134,0.961,0.688,0.718,622,1947
118,0.258,0.028,0.938,0.782,0.537,0.027,0.983,928,1495
119,0.128,0.543,0.014,0.01,0.627,0.498,0.297,896,1168
120,0.012,0.042,0.462,0.661,0.736,0.221,0.585,383,631
121,0.861,0.947,0.436,0.075,0.317,0.505,0.973,926,927
122,0.603,0.316,0.755,0.843,0.86,0.161,0.8,386,438
123,0.57,0.857,0.137,0.835,0.975,0.858,0.41,434,594
124,0.547,0.699,0.559,0.061,0.828,0.763,0.497,116,1482
125,0.123,0.584,0.234,0.367,0.495,0.813,0.516,325,1153
126,0.289,0.504,0.402,0.051,0.438,0.517,0.563,709,1028
127,0.974,0.067,0.385,0.98,0.931,0.627,0.215,114,960
128,0.515,0.734,0.488,0.984,0.7,0.806,0.685,10,1896
129,0.654,0.24,0.005,0.509,0.255,0.156,0.899,987,1549
130,0.6,0.462,0.717,0.132,0.443,0.817,0.751,153,1771
131,0.895,0.136,0.872,0.046,0.245,0.304,0.39,920,1048
132,0.645,0.429,0.732,0.648,0.651,0.843,0.321,972,1913
133,0.881,0.604,0.147,0.199,0.031,0.017,0.007,846,1617
134,0.178,0.52,0.021,0.191,0.638,0.115,0.617,315,440
135,0.461,0.75,0.856,0.895,0.935,0.174,0.265,501,1587
136,0.215,0.459,0.207,0.447,0.894,0.818,0.43,815,1964
137,0.585,0.753,0.461,0.378,0.704,0.257,0.748,824,1393
138,0.744,0.46,0.91,0.211,0.577,0.701,0.99,894,1083
139,0.028,0.378,0.848,0.729,0.921,0.49,0.389,348,1246
140,0.431,0.337,0.828,0.021,0.177,0.109,0.769,186,941
141,0.704,0.168,0.966,0.128,0.825,0.804,0.732,210,1648
142,0.383,0.289,0.53,0.95,0.75,0.589,0.308,2,1944
143,0.174,0.145,0.942,0.623,0.34,0.717,0.01,887,1892
144,0.286,0.09,0.65,0.397,0.81,0.357,0.863,662,1313
145,0.201,0.274,0.821,0.76,0.537,0.076,0.711,313,1898
146,0.226,0.035,0.164,0.365,0.685,0.796,0.882,236,593
147,0.821,0.217,0.859,0.597,0.873,0.528,0.084,692,781
148,0.518,0.264,0.067,0.51,0.898,0.59,0.922,99,601
149,0.157,0.094,0.313,0.405,0.989,0.112,0.72,153,1966
150,0.262,0.313,0.016,0.243,0.643,0.907,0.314,649,889
151,0.46,0.029,0.363,0.261,0.199,0.243,0.04,231,827
152,0.063,0.836,0.796,0.092,0.855,0.189,0.055,843,907
153,0.399,0.32,0.079,0.964,0.535,0.332,0.29,960,1855
