id,x,y,z,ts_in,ts_out
0,0.745,0.521,0.465,273,322
1,0.946,0.355,0.537,898,1194
2,0.785,0.214,0.746,240,1419
3,0.996,0.142,0.969,264,905
4,0.545,0.97,0.312,653,778
5,0.133,0.07,0.298,392,410
6,0.094,0.076,0.296,258,677
7,0.938,0.867,0.332,287,742
8,0.754,0.22,0.84,603,1695
9,0.641,0.795,0.903,30,342
10,0.081,0.059,0.37,143,295
11,0.177,0.811,0.962,787,1579
12,0.997,0.974,0.746,210,1860
13,0.18,0.686,0.283,309,1286
14,0.323,0.816,0.027,708,961
15,0.514,0.663,0.242,191,1078
16,0.988,0.647,0.135,969,1570
17,0.27,0.521,0.579,484,1332
18,0.773,0.665,0.981,249,1439
19,0.111,0.952,0.07,310,1399
20,0.026,0.303,0.353,621,816
21,0.129,0.793,0.463,882,1998
22,0.965,0.256,0.911,516,1565
23,0.897,0.228,0.863,383,1930
24,0.633,0.286,0.617,841,1031
25,0.772,0.558,0.314,954,1091
26,0.342,0.395,0.013,631,959
27,0.187,0.923,0.038,18,236
28,0.281,0.073,0.873,880,932
29,0.177,0.801,0.022,600,1247
30,0.521,0.168,0.486,698,1618
31,0.737,0.737,0.729,69,1091
32,0.556,0.408,0.218,406,571
33,0.332,0.918,0.457,320,1476
34,0.063,0.737,0.837,259,1625
35,0.514,0.712,0.487,533,1354
36,0.706,0.117,0.988,941,1643
37,0.674,0.814,0.698,698,1115
38,0.057,0.677,0.292,439,1911
39,0.272,0.595,0.12,368,936
40,0.945,0.318,0.967,916,1932
41,0.609,0.996,0.379,309,615
42,0.437,0.82,0.488,341,945
43,0.673,0.428,0.338,853,1005
44,0.063,0.79,0.041,614,1509
45,0.453,0.78,0.197,660,1055
46,0.255,0.372,0.072,187,277
47,0.905,0.415,0.979,110,1883
48,0.628,0.654,0.581,161,479
49,0.076,0.038,0.77,144,555
50,0.34,0.681,0.86,471,1320
51,0.363,0.275,0.863,568,1045
52,0.768,0.437,0.942,542,1813
53,0.432,0.096,0.754,46,1630
54,0.576,0.997,0.81,738,1527
55,0.685,0.189,0.163,1,41
56,0.467,0.303,0.542,174,1193
57,0.953,0.568,0.683,732,1878
58,0.537,0.268,0.509,652,1491
59,0.329,0.042,0.986,174,285
60,0.615,0.139,0.96,739,755
61,0.631,0.919,0.951,730,741
62,0.992,0.983,0.057,453,1161
63,0.895,0.912,0.183,837,1253
64,0.433,0.139,0.774,216,1302
65,0.919,0.685,0.657,777,1404
66,0.642,0.246,0.098,685,1644
67,0.654,0.026,0.144,771,1654
68,0.775,0.907,0.513,904,1812
69,0.749,0.415,0.247,106,1020
70,0.084,0.393,0.709,322,1880
71,0.348,0.502,0.608,409,627
72,0.415,0.274,0.097,890,1188
73,0.517,0.545,0.925,383,1130
74,0.96,0.614,0.195,104,877
75,0.275,0.882,0.86,856,1159
76,0.821,0.677,0.523,781,1837
77,0.616,0.507,0.529,74,1554
78,0.364,0.895,0.392,695,1707
79,0.072,0.757,0.473,67,1955
80,0.567,0.141,0.763,170,633
81,0.113,0.514,0.498,284,588
82,0.556,0.84,1.0,763,1302
83,0.989,0.406,0.696,51,1568
84,0.672,0.061,0.932,957,1703
85,0.654,0.937,0.873,591,836
86,0.204,0.0,0.682,856,1106
87,0.219,0.011,0.197,222,1935
88,0.12,0.749,0.74,597,1475
89,0.026,0.366,0.182,933,1798
90,0.097,0.913,0.951,763,964
91,0.526,0.238,0.229,282,686
92,0.861,0.494,0.635,421,1429
93,0.878,0.692,0.515,517,1078
94,0.535,0.29,0.702,283,1611
95,0.768,0.742,0.103,177,1611
96,0.582,0.925,0.96,341,1906
97,0.679,0.564,0.286,649,1088
98,0.143,0.916,0.166,586,1111
99,0.413,0.649,0.87,955,1871
100,0.773,0.515,0.556,433,951
101,0.207,0.049,0.886,453,693
102,0.296,0.512,0.392,546,714
103,0.805,0.594,0.929,48,304
104,0.798,0.594,0.302,117,134
105,0.958,0.275,0.376,425,978
106,0.682,0.327,0.668,173,682
107,0.503,0.782,0.032,86,1093
108,0.646,0.652,0.102,330,1237
109,0.064,0.295,0.071,58,1157
110,0.813,0.206,0.64,369,1814
111,0.626,0.993,0.025,699,824
112,0.028,0.155,0.466,963,1279
113,0.863,0.061,0.418,660,860
114,0.661,0.785,0.7,42,1112
115,0.848,0.978,0.303,350,1209
116,0.156,0.311,0.359,657,1869
117,0.968,0.213,0.662,271,1562
118,0.624,0.426,0.529,745,1995
119,0.337,0.404,0.943,350,441
120,0.12,0.31,0.855,415,745
121,0.135,0.923,0.501,338,1159
122,0.998,0.464,0.969,951,1606
123,0.315,0.36,0.972,356,1659
124,0.285,0.839,0.614,748,1505
125,0.59,0.88,0.355,24,358
126,0.663,0.09,0.14,695,1976
127,0.649,0.439,0.011,562,1914
128,0.868,0.985,0.948,527,1736
129,0.494,0.439,0.462,404,1642
130,0.339,0.917,0.236,609,1995
131,0.638,0.628,0.49,199,243
132,0.38,0.764,0.35,712,886
