id,t,u,v,time_in,time_out
0,0.673,0.142,0.045,834,1205
1,0.671,0.156,0.03,738,1231
2,0.727,0.386,0.136,905,1371
3,0.722,0.431,0.273,494,1512
4,0.673,0.125,0.03,464,921
5,0.668,0.367,0.091,289,1824
6,0.675,0.125,0.106,221,884
7,0.675,0.136,0.061,4,218
8,0.678,0.125,0.136,934,1277
9,0.677,0.164,0.152,402,1755
10,0.677,0.558,0.061,878,1776
11,0.748,0.419,0.167,607,1526
12,0.711,0.372,0.333,670,1153
13,0.676,0.594,0.106,156,372
14,0.649,0.436,0.061,26,1597
15,0.647,0.142,0.106,700,1444
16,0.677,0.719,0.015,423,819
17,0.652,0.2,0.106,510,1220
18,0.649,0.0,0.061,435,1597
19,0.649,0.106,0.076,44,1898
20,0.648,0.197,0.136,4,1673
21,0.747,0.581,0.258,156,739
22,0.717,0.317,0.348,540,1873
23,0.651,0.15,0.121,719,1845
24,0.65,0.061,0.136,892,1482
25,0.646,0.375,0.091,797,1616
26,0.645,0.453,0.152,231,963
27,0.768,0.411,0.242,335,568
28,0.729,0.375,0.015,495,1405
29,0.71,0.325,0.364,100,926
30,0.701,0.339,0.455,710,1615
31,0.654,0.292,0.106,600,870
32,0.653,0.283,0.091,427,1336
33,0.652,0.064,0.091,936,1043
34,0.652,0.114,0.136,691,911
35,0.752,0.125,0.288,170,1625
36,0.702,0.347,0.424,157,751
37,0.651,0.256,0.106,308,413
38,0.713,0.272,0.455,552,1498
39,0.696,0.983,0.182,526,1801
40,0.7,0.964,0.045,760,1418
41,0.666,0.961,0.03,786,1528
42,0.657,0.197,0.136,192,755
43,0.701,0.917,0.409,8,584
44,0.694,0.356,0.076,448,1029
45,0.656,0.189,0.121,689,721
46,0.654,0.261,0.106,592,1187
47,0.657,0.275,0.091,229,1063
48,0.647,0.183,0.091,704,1828
49,0.645,0.278,0.106,654,1587
50,0.703,0.325,0.455,256,539
51,0.71,0.897,0.379,484,1567
52,0.699,0.2,0.03,733,1175
53,0.651,0.219,0.212,935,1400
54,0.649,0.225,0.106,197,1669
55,0.706,0.875,0.364,416,1301
56,0.648,0.206,0.167,678,1726
57,0.644,0.189,0.076,601,1940
58,0.645,0.031,0.061,538,1537
59,0.645,0.117,0.091,298,934
60,0.645,0.208,0.076,950,1386
61,0.765,0.297,0.167,317,444
62,0.701,0.25,0.121,967,1318
63,0.65,0.111,0.106,233,1714
64,0.648,0.136,0.212,105,1103
65,0.646,0.175,0.152,300,578
66,0.65,0.164,0.106,64,1800
67,0.757,0.036,0.197,380,407
68,0.71,0.15,0.091,896,1969
69,0.684,0.222,0.121,756,1528
70,0.737,0.461,0.182,210,1810
71,0.78,0.125,0.212,503,1202
72,0.75,0.317,0.242,708,1699
73,0.739,0.017,0.136,610,663
74,0.681,0.083,0.152,582,1208
75,0.742,0.328,0.273,358,1640
76,0.733,0.444,0.424,297,961
77,0.656,0.906,0.076,689,1684
78,0.728,0.275,0.106,732,1132
79,0.736,0.425,0.394,603,1259
80,0.724,0.219,0.152,887,888
81,0.712,0.397,0.242,41,1574
82,0.738,0.978,0.394,357,407
83,0.736,0.039,0.212,221,545
84,0.658,0.117,0.106,214,918
85,0.741,0.994,0.258,587,1471
86,0.73,0.922,0.394,17,1417
87,0.726,0.05,0.106,326,1848
88,0.723,0.175,0.152,608,1386
89,0.712,0.85,0.167,885,1388
90,0.652,0.283,0.091,215,1803
91,0.723,0.036,0.242,325,1396
92,0.664,0.983,0.182,9,402
93,0.797,0.481,0.182,130,588
94,0.772,0.197,0.152,75,1138
95,0.741,0.086,0.152,338,1925
96,0.795,0.456,0.167,652,1699
97,0.727,0.2,0.076,103,1514
98,0.664,0.164,0.045,874,1988
99,0.665,0.094,0.136,192,1499
100,0.777,0.125,0.121,623,1196
101,0.696,0.233,0.182,361,881
102,0.694,0.117,0.167,455,1775
103,0.742,0.283,0.227,515,1174
104,0.667,0.472,0.076,736,1274
105,0.651,0.586,0.091,265,1002
106,0.795,0.089,0.061,195,557
107,0.754,0.158,0.242,183,1135
108,0.742,0.967,0.212,192,954
109,0.665,0.925,0.015,145,1410
110,0.825,0.292,0.167,820,1895
111,0.73,0.9,0.182,755,1448
112,0.713,0.922,0.091,947,1231
113,0.713,0.244,0.076,772,1727
114,0.666,0.283,0.106,575,1944
115,0.828,0.308,0.227,442,1938
116,0.773,0.147,0.212,513,978
117,0.739,0.161,0.091,255,1791
118,0.67,0.211,0.061,659,1316
119,0.735,0.047,0.197,316,1731
120,0.706,0.275,0.091,735,756
121,0.796,0.0,0.167,988,1264
122,0.792,0.344,0.182,666,1232
123,0.73,0.331,0.288,58,371
124,0.738,0.889,0.5,915,952
125,0.675,0.311,0.167,77,1511
126,0.75,0.231,0.091,906,1758
127,0.704,0.003,0.152,242,1696
128,0.685,0.347,0.303,263,1081
129,0.677,0.103,0.076,504,1144
130,0.759,0.989,0.182,924,968
131,0.717,0.853,0.182,294,1362
132,0.775,0.136,0.197,595,1025
133,0.762,0.156,0.273,521,1655
134,0.658,0.019,0.182,311,689
135,0.808,0.331,0.106,772,1732
136,0.763,0.961,0.182,82,260
137,0.748,0.033,0.106,281,971
138,0.719,0.956,0.197,863,1337
139,0.645,0.219,0.136,309,780
140,0.805,0.633,0.273,304,1556
141,0.734,0.789,0.364,468,1964
142,0.735,0.311,0.121,518,1829
143,0.749,0.831,0.348,769,1879
144,0.732,0.375,0.076,574,1643
145,0.707,0.375,0.045,916,958
146,0.768,0.244,0.242,413,1590
147,0.814,0.611,0.167,446,1291
148,0.738,0.006,0.091,995,1533
149,0.657,0.094,0.076,208,495
150,0.821,0.264,0.091,712,1319
151,0.758,0.803,0.364,270,287
